N	2gram	Tiupa_Disk_1	Hudozhes
1	в качестве	34	19
2	то есть	20	18
3	состоит в	9	16
4	и не	11	16
5	в том	23	15
6	и в	16	15
7	не только	28	15
8	в частности	9	13
9	может быть	17	13
10	тогда как	19	13
11	при этом	13	12
12	а в	5	12
13	и его	2	12
14	но не	11	11
15	в этом	15	11
16	в себе	7	11
17	представляет собой	17	10
18	как бы	5	10
19	отношению к	9	10
20	но и	14	10
21	так и	8	10
22	по отношению	9	10
23	то же	7	10
24	а не	22	10
25	такого рода	4	9
26	в его	7	9
27	литературного произведения	3	9
28	точки зрения	3	9
29	в рамках	5	8
30	себя в	2	8
31	своего рода	8	8
32	сводится к	5	8
33	с другой	10	7
34	или иной	5	7
35	в отличие	5	7
36	внутренней речи	2	7
37	в принципе	2	7
38	в то	3	7
39	отличие от	5	7
40	но в	8	7
41	в основе	7	6
42	с его	4	6
43	что в	4	6
44	не сводится	3	6
45	художественного письма	7	6
46	в ее	3	6
47	том что	19	6
48	не в	7	6
49	же время	4	6
50	отношение к	4	6
51	в тексте	2	6
52	приводит к	2	6
53	не может	9	6
54	по своей	11	6
55	могут быть	4	5
56	по сути	4	5
57	можно сказать	5	5
58	а также	8	5
59	только в	7	5
60	в самом	3	5
61	того что	3	5
62	не предполагает	4	5
63	той или	3	5
64	в нем	9	5
65	с ее	2	5
66	то что	5	5
67	и одновременно	2	5
68	эстетическая деятельность	3	5
69	или менее	2	5
70	и т.п	12	5
71	другой стороны	3	5
72	в их	5	5
73	уже не	4	5
74	коммуникативного события	14	5
75	картина мира	3	5
76	героя и	2	5
77	более или	2	5
78	прежде всего	11	4
79	к тому	5	4
80	в ходе	3	4
81	и как	6	4
82	в другом	2	4
83	воспринимающего сознания	2	4
84	особого рода	2	4
85	для него	4	4
86	еще не	14	4
87	например в	2	4
88	хотя и	2	4
89	и тем	2	4
90	в своей	5	4
91	со стороны	7	4
92	в форме	2	4
93	как к	2	4
94	отношения к	2	4
95	сознания в	2	4
96	высказывания в	6	4
97	сказать что	3	4
98	между тем	4	4
99	мы имеем	2	4
100	и т.д	4	4
101	к которому	2	4
102	не менее	2	3
103	однако в	3	3
104	в противоположность	2	3
105	текста в	2	3
106	это не	3	3
107	одного и	2	3
108	говорит и	2	3
109	как уже	3	3
110	что он	4	3
111	и к	4	3
112	к его	2	3
113	и того	3	3
114	сказания или	3	3
115	эстетического субъекта	2	3
116	в акте	3	3
117	в пределах	2	3
118	по своему	3	3
119	того же	3	3
120	в свою	3	3
121	о чем	2	3
122	к области	2	3
123	к содержанию	3	3
124	имеет место	3	3
125	иначе говоря	2	3
126	того или	2	3
127	далеко не	10	3
128	сути своей	2	3
129	в целом	4	3
130	в культуре	2	3
131	значении этого	3	3
132	в притче	4	3
133	таким образом	3	3
134	как и	16	3
135	лишь в	4	3
136	и что	2	3
137	во втором	4	3
138	текст и	2	3
139	являет собой	3	3
140	не следует	2	3
141	в рассказе	2	3
142	и адресата	2	3
143	потому что	4	3
144	и ее	2	3
145	в данном	5	3
146	как правило	4	3
147	в произведении	3	3
148	в виду	2	3
149	слова в	2	2
150	во мне	3	2
151	на этом	2	2
152	том числе	2	2
153	по мысли	3	2
154	и составляет	3	2
155	ни к	6	2
156	ни столь	2	2
157	с человеком	2	2
158	в сторону	4	2
159	числе и	2	2
160	сказания это	2	2
161	жизни в	2	2
162	в своем	6	2
163	в них	4	2
164	или даже	2	2
165	не как	4	2
166	с.с аверинцева	3	2
167	в одном	2	2
168	биографического дискурса	2	2
169	вследствие этого	3	2
170	форма авторства	4	2
171	по себе	3	2
172	для понимания	2	2
173	в литературе	2	2
174	роль в	7	2
175	при всей	3	2
176	об этом	2	2
177	основе своей	2	2
178	в дискурсе	2	2
179	речевого замысла	2	2
180	есть в	2	2
181	свою очередь	3	2
182	времени и	3	2
183	в значительной	2	2
184	имеем дело	2	2
185	могла бы	2	2
186	эстетической деятельности	3	2
187	коммуникативной природе	2	2
188	одной стороны	9	2
189	хоровое слово	2	2
190	мира в	3	2
191	значительной степени	2	2
192	за пределы	2	2
193	во всех	5	2
194	и о	4	2
195	одной из	4	2
196	совпадает с	2	2
197	ситуации рассказывания	3	2
198	и потому	3	2
199	по бахтину	4	2
200	частной жизни	2	2
201	не является	4	2
202	для себя	4	2
203	оно не	2	2
204	не могло	2	2
205	и др	2	2
206	в сказании	3	2
207	силу своей	2	2
208	коммуникативную стратегию	2	2
209	дело не	2	2
210	коммуникативное событие	5	2
211	жанровая форма	4	2
212	как в	10	2
213	или притчи	2	2
214	а с	5	2
215	с одной	9	2
216	именно в	3	2
217	в себя	5	2
218	в году	2	2
219	этого термина	2	2
220	а.н веселовского	2	2
221	времени в	2	2
222	сути дела	2	2
223	и по	2	2
224	или в	2	2
225	к другому	2	2
226	высказывания и	2	2
227	ведет к	3	2
228	я героя	2	2
229	тот или	2	2
230	высказывания не	2	2
231	и на	5	2
232	в силу	5	2
233	с позиций	2	2
234	известной степени	2	2
235	но как	2	2
236	индивидуального речевого	2	2
237	коммуникативным событием	2	2
238	в этой	2	2
239	в равной	2	2
240	о том	8	2
241	в организации	2	2
242	м.м бахтин	2	2
243	всей его	2	2
244	писал бахтин	4	2
