N	2gram	Berdyaev_N_1	Istorich
1	и в	16	22
2	в этом	7	17
3	что в	9	15
4	не только	5	14
5	но и	3	12
6	и не	11	12
7	и пр	3	11
8	может быть	7	11
9	еще не	3	10
10	но в	2	10
11	в нем	5	9
12	вместе с	2	9
13	в том	8	9
14	с этим	2	8
15	том что	2	8
16	другой стороны	2	7
17	с другой	3	7
18	но не	2	7
19	то что	4	7
20	уже не	2	7
21	в них	4	6
22	это не	4	6
23	а в	2	6
24	а не	17	6
25	не менее	4	5
26	что она	2	5
27	он не	8	5
28	могут быть	2	5
29	как это	2	4
30	не в	6	4
31	она не	3	4
32	и на	2	4
33	не может	16	4
34	все эти	2	4
35	и с	2	4
36	связана с	2	3
37	я не	2	3
38	и от	2	3
39	и все	4	3
40	прежде всего	4	3
41	к тому	3	3
42	и к	5	3
43	как и	7	3
44	но это	6	3
45	у него	2	3
46	равно как	2	3
47	никогда не	6	3
48	так же	2	3
49	сказать что	3	3
50	потому что	4	3
51	о том	4	3
52	не было	4	2
53	все время	2	2
54	с тем	3	2
55	и есть	10	2
56	к более	2	2
57	в жизни	5	2
58	вопрос о	3	2
59	ни в	6	2
60	такой же	2	2
61	одна из	2	2
62	с одной	2	2
63	как в	3	2
64	ли это	2	2
65	одной стороны	2	2
66	же как	2	2
67	хотя и	2	2
68	в ней	5	2
69	и потому	4	2
70	к жизни	3	2
71	не имеет	4	2
72	должно было	2	2
73	и это	2	2
74	жизни и	8	2
75	но она	2	2
76	так и	2	2
77	не имеют	2	2
78	не могла	2	2
79	и было	2	2
80	перейти к	3	2
81	и что	2	2
82	и даже	2	2
83	и для	4	2
84	вот почему	2	2
85	роль в	2	2
86	время как	2	2
87	в русском	2	2
88	в то	2	2
89	как будто	2	2
