N	2gram	Propp_Isto_6	UchenyiS
1	и в	26	14
2	а не	2	10
3	не только	10	10
4	и не	10	8
5	прежде всего	4	8
6	то что	6	7
7	в этом	12	7
8	вот почему	3	7
9	не может	6	7
10	может быть	11	6
11	и только	3	5
12	то же	5	5
13	но и	9	4
14	в этой	2	4
15	с другой	10	4
16	но в	7	3
17	как и	5	3
18	и то	3	3
19	все же	8	3
20	в своей	3	3
21	и формы	2	3
22	в частности	3	3
23	другой стороны	8	3
24	это не	4	3
25	в то	5	3
26	было бы	2	3
27	у нас	5	3
28	том что	10	2
29	но не	2	2
30	в том	12	2
31	мы не	6	2
32	с его	4	2
33	не есть	2	2
34	не в	3	2
35	но это	4	2
36	должна быть	3	2
37	о чем	2	2
38	если бы	3	2
39	только в	5	2
40	и с	6	2
41	тем что	5	2
42	сих пор	4	2
43	могут быть	3	2
44	что он	9	2
45	в себе	3	2
46	до сих	4	2
47	что мы	2	2
48	и через	3	2
49	в некоторых	2	2
50	превращается в	7	2
51	сводится к	2	2
52	ничего не	2	2
53	что она	3	2
54	что и	4	2
55	в его	5	2
56	на первый	3	2
57	таким образом	12	2
58	же не	2	2
