N	2gram	Voloshinov_1	FransuaR
1	и в	38	56
2	то есть	4	24
3	в его	6	18
4	таким образом	7	17
5	все эти	2	15
6	в этом	10	14
7	в том	2	13
8	так и	6	13
9	и его	7	12
10	в то	9	12
11	в этих	2	11
12	как бы	28	11
13	и т.п	21	11
14	то же	14	11
15	же время	7	10
16	еще не	3	10
17	мы уже	10	10
18	только в	6	9
19	в самом	4	9
20	но и	13	9
21	и не	14	9
22	том что	3	8
23	по своему	3	8
24	не только	27	8
25	в нем	4	8
26	во всех	6	8
27	сих пор	2	8
28	и их	5	8
29	все это	4	8
30	и даже	3	8
31	и с	5	8
32	в частности	3	7
33	как мы	9	7
34	и на	6	7
35	прежде всего	21	6
36	вовсе не	2	6
37	в ее	3	6
38	мы видим	3	6
39	в этой	6	6
40	мертвых душ	3	6
41	языка и	4	6
42	в той	5	6
43	той же	5	6
44	потому что	5	6
45	на его	5	6
46	точки зрения	10	6
47	связи с	3	6
48	и все	4	6
49	связаны с	4	6
50	но в	5	6
51	но не	2	5
52	с его	7	5
53	никогда не	7	5
54	в отношении	2	5
55	как и	10	5
56	он не	2	5
57	один из	4	5
58	мы видели	5	5
59	в процессе	6	5
60	не было	2	5
61	роль в	3	5
62	так сказать	4	5
63	в области	5	5
64	времени и	2	4
65	что это	4	4
66	того времени	4	4
67	в себе	9	4
68	в качестве	4	4
69	и к	4	4
70	конечно не	3	4
71	в ней	8	4
72	и потому	2	4
73	и несколько	2	4
74	при этом	9	4
75	язык в	6	4
76	того чтобы	7	4
77	в основе	2	4
78	в своих	2	4
79	их в	3	4
80	о том	4	4
81	по своей	2	4
82	так как	7	4
83	в которой	7	4
84	перед нами	3	3
85	видели что	3	3
86	как например	2	3
87	главным образом	3	3
88	и здесь	3	3
89	слов и	7	3
90	кроме того	2	3
91	в первой	2	3
92	может быть	13	3
93	не мог	3	3
94	одной из	2	3
95	что и	3	3
96	то что	8	3
97	связь с	2	3
98	в форме	6	3
99	в связи	2	3
100	еще и	2	3
101	не просто	2	3
102	с помощью	6	3
103	здесь мы	3	3
104	уже не	4	3
105	и наконец	5	3
106	не в	6	3
107	ведь в	3	3
108	сказать что	3	3
109	между тем	3	3
110	речи и	6	3
111	и т.д	21	3
112	слова и	5	3
113	бы в	5	3
114	в потоке	3	2
115	если бы	4	2
116	видим что	2	2
117	в нашем	5	2
118	друг другу	2	2
119	это не	3	2
120	уже в	5	2
121	связанный с	2	2
122	в одном	3	2
123	на самом	3	2
124	к этому	2	2
125	что он	2	2
126	бы и	2	2
127	можно сказать	4	2
128	точек зрения	4	2
129	мы найдем	2	2
130	и конечно	2	2
131	и как	9	2
132	но это	2	2
133	а на	2	2
134	для него	3	2
135	было бы	7	2
136	и сам	2	2
137	из них	3	2
138	несмотря на	2	2
139	себе и	2	2
140	а в	5	2
141	и эта	3	2
142	события и	2	2
143	хотя и	3	2
144	между ними	3	2
145	в котором	3	2
146	все же	7	2
147	в своей	2	2
148	в мире	2	2
149	вместе с	5	2
150	самом деле	4	2
151	только на	3	2
152	целый ряд	3	2
153	так же	4	2
154	не может	12	2
155	в каком	2	2
156	язык и	9	2
157	в значительной	2	2
158	а не	6	2
159	с собой	2	2
160	для того	9	2
161	из которых	3	2
162	к нему	2	2
163	и для	3	2
164	с точки	5	2
165	его в	4	2
166	в слове	3	2
167	мы не	9	2
168	и то	3	2
169	также и	2	2
170	в которых	2	2
171	и при	2	2
172	языка в	2	2
173	той или	3	2
174	был и	2	2
175	что эти	2	2
176	зрения на	2	2
177	с тем	8	2
178	с ним	2	2
