N	2gram	Vinokur_Vv_1	OGranits
1	и в	27	13
2	и его	5	12
3	прежде всего	8	9
4	не может	13	8
5	и не	13	8
6	может быть	24	8
7	точки зрения	7	7
8	в его	10	7
9	таким образом	19	6
10	не только	21	6
11	то что	17	6
12	только в	13	6
13	как бы	5	6
14	все же	8	5
15	с точки	2	5
16	языка и	12	5
17	но ведь	4	5
18	хотя бы	5	5
19	и т.д	4	5
20	то же	8	4
21	в своей	4	4
22	все это	6	4
23	в каждом	4	4
24	еще и	3	4
25	мы не	2	4
26	мы можем	2	4
27	было бы	5	4
28	но в	10	4
29	связана с	4	3
30	и уже	3	3
31	отношению к	4	3
32	что в	11	3
33	никогда не	3	3
34	но и	5	3
35	понятно что	3	3
36	что же	3	3
37	в их	11	3
38	по отношению	4	3
39	вряд ли	2	3
40	не как	3	3
41	в одном	4	3
42	наукой о	2	3
43	со всей	3	3
44	самом деле	6	3
45	языка как	2	3
46	в ее	11	3
47	да и	4	3
48	как и	5	3
49	не в	8	3
50	и то	5	3
51	не столько	2	3
52	в себе	4	3
53	говорить о	3	3
54	с этим	2	3
55	и для	4	3
56	так как	13	3
57	с историей	3	2
58	не исчерпывается	2	2
59	не менее	8	2
60	и др	2	2
61	себе что	3	2
62	уже в	5	2
63	с этой	4	2
64	а как	3	2
65	и тем	5	2
66	в нем	13	2
67	в целом	5	2
68	своего рода	3	2
69	о языке	3	2
70	данном случае	5	2
71	а не	3	2
72	в этот	2	2
73	в отношении	2	2
74	отношений между	3	2
75	другой стороны	5	2
76	с другой	8	2
77	в них	4	2
78	в связи	2	2
79	входит в	2	2
80	а в	5	2
81	истории литературы	3	2
82	художественных произведений	2	2
83	и историей	6	2
84	с одной	4	2
85	в течение	5	2
86	все эти	3	2
87	вовсе не	6	2
88	и истории	2	2
89	есть не	3	2
90	в тех	2	2
91	к тому	4	2
92	если бы	2	2
93	литературное произведение	2	2
94	в общем	12	2
95	в чем	4	2
96	не имеет	4	2
97	в г	5	2
98	в том	31	2
99	что иное	4	2
100	так же	3	2
101	не мог	2	2
102	том что	26	2
103	в своих	2	2
104	в данном	11	2
105	в этом	34	2
106	от этого	5	2
107	учение о	2	2
108	тем что	6	2
109	между тем	8	2
110	могут быть	4	2
111	при этом	3	2
112	чем же	3	2
113	нуждается в	2	2
114	смысле слова	7	2
115	истории языка	5	2
116	и ее	4	2
117	соответствии с	2	2
118	не что	4	2
119	в другом	3	2
120	во всем	2	2
121	одной стороны	4	2
122	несмотря на	2	2
123	в области	4	2
124	в самом	12	2
125	мог бы	2	2
126	и при	2	2
127	в ней	3	2
128	иное как	5	2
129	а также	3	2
