N	2gram	Bakhtin_sl_2	Tvorches
1	и в	39	20
2	в романе	46	15
3	не только	24	13
4	и т	35	13
5	в романах	3	13
6	никогда не	7	11
7	т д	2	11
8	как бы	7	11
9	в его	7	10
10	таким образом	8	10
11	в то	4	10
12	и его	33	9
13	и не	22	9
14	прежде всего	8	8
15	в том	5	8
16	при этом	7	8
17	но и	21	8
18	может быть	37	8
19	в этом	16	8
20	и с	9	8
21	это не	5	7
22	же время	4	7
23	что в	3	7
24	не может	20	7
25	то же	4	7
26	xix века	4	7
27	у него	3	6
28	что он	2	6
29	в бытовой	3	6
30	как и	6	6
31	так и	15	6
32	все это	16	6
33	именно в	2	6
34	а не	14	6
35	в основном	4	6
36	но это	3	5
37	еще не	7	5
38	но не	6	5
39	например в	5	5
40	все же	6	5
41	и даже	7	5
42	и на	4	5
43	о том	2	5
44	то есть	26	5
45	и от	3	4
46	мы не	2	4
47	том что	5	4
48	в дальнейшем	2	4
49	на его	2	4
50	хотя и	2	4
51	как в	13	4
52	все эти	6	4
53	героя в	3	4
54	не в	9	4
55	а в	4	4
56	в чем	3	4
57	и потому	7	4
58	но в	6	4
59	жизни в	2	3
60	человека и	3	3
61	с ним	7	3
62	отношению к	4	3
63	х годов	2	3
64	одна из	4	3
65	для него	7	3
66	он не	2	3
67	и др	4	3
68	один из	5	3
69	в нем	19	3
70	то что	2	3
71	вместе с	2	3
72	сих пор	2	3
73	в их	2	3
74	по отношению	4	3
75	так как	4	3
76	человека в	5	3
77	в свете	3	3
78	уже не	5	3
79	романа и	5	3
80	одним из	2	3
81	в таком	4	3
82	в себе	2	3
83	его в	4	3
84	в плане	5	3
85	между тем	3	3
86	до сих	2	3
87	действующих лиц	2	2
88	ни к	2	2
89	включает в	2	2
90	уже в	2	2
91	в роман	3	2
92	в быту	5	2
93	не менее	4	2
94	его и	2	2
95	точку зрения	3	2
96	с другой	5	2
97	или даже	3	2
98	в одном	2	2
99	вовсе не	10	2
100	во всяком	3	2
101	более того	2	2
102	как о	2	2
103	проникает в	2	2
104	роман и	2	2
105	всяком случае	2	2
106	точка зрения	2	2
107	себя в	8	2
108	в свой	2	2
109	в процессе	13	2
110	в истории	11	2
111	на него	2	2
112	так в	2	2
113	в отличие	12	2
114	т п	33	2
115	не было	2	2
116	и других	4	2
117	но эта	2	2
118	и наконец	5	2
119	особенно в	2	2
120	рядом с	3	2
121	роль в	2	2
122	с другими	4	2
123	с ними	5	2
124	не столько	3	2
125	в основе	4	2
126	в виде	2	2
127	могут быть	7	2
128	говорить о	3	2
129	только в	5	2
130	героя и	5	2
131	так сказать	6	2
132	только с	2	2
133	но прежде	2	2
134	отличие от	13	2
