N	3gram	Losev_Dial_2	Myslijsy
1	в том что	6	16
2	только тогда когда	4	7
3	от того что	2	5
4	то же время	4	5
5	по крайней мере	9	5
6	и то же	4	5
7	сам по себе	3	5
8	в то же	3	5
9	одно и то	4	5
10	не есть ни	6	4
11	с другой стороны	4	4
12	в то время	3	4
13	не только в	2	4
14	само по себе	2	3
15	может быть только	2	3
16	в том смысле	4	3
17	тем не менее	2	3
18	до сих пор	2	3
19	более или менее	2	3
20	и т д	15	3
21	не может быть	3	3
22	потому что он	2	3
23	можно сказать что	3	2
24	нельзя сказать что	2	2
25	и может быть	3	2
26	в таком случае	3	2
27	как бы ни	2	2
28	сама по себе	7	2
29	не могут быть	2	2
30	и т п	2	2
