N	3gram	Bakhtin_Pr_1	Hudozhes
1	по отношению к	19	10
2	в отличие от	5	7
3	в то же	3	6
4	то же время	3	6
5	той или иной	2	5
6	в том что	3	5
7	с другой стороны	4	5
8	можно сказать что	2	3
9	в конечном счете	4	3
10	с точки зрения	6	3
11	в этом смысле	3	3
12	тем не менее	3	3
13	того или иного	2	3
14	мы имеем дело	2	2
15	в эстетический объект	12	2
16	в противном случае	3	2
17	в коем случае	2	2
18	коем случае не	2	2
19	и прежде всего	5	2
20	и в то	2	2
21	с одной стороны	3	2
22	в основе своей	3	2
23	ни в коем	2	2
24	для того чтобы	2	2
