N	2gram	Tiupa_Hudo_1	Formalny
1	и не	15	30
2	вовсе не	2	28
3	и в	19	27
4	может быть	14	25
5	не может	7	24
6	так и	11	21
7	и его	12	19
8	таким образом	3	18
9	в этом	11	18
10	а не	9	17
11	точки зрения	10	16
12	в нем	5	15
13	то же	10	15
14	между ними	4	15
15	как и	2	14
16	с точки	3	14
17	не в	7	12
18	если бы	3	12
19	в самом	5	11
20	в жизни	2	11
21	место в	4	10
22	но и	10	10
23	лишь в	4	9
24	не только	16	9
25	так же	2	9
26	что в	6	8
27	ни в	5	8
28	при этом	13	8
29	в пределах	3	8
30	как бы	9	8
31	отнюдь не	2	8
32	то что	4	8
33	как раз	3	8
34	входит в	4	8
35	только в	5	8
36	не менее	3	7
37	в том	18	7
38	же время	5	7
39	все это	2	7
40	потому что	3	7
41	в искусстве	7	7
42	в то	6	7
43	его в	2	7
44	между тем	4	7
45	художественного произведения	3	7
46	в его	9	7
47	если мы	2	7
48	истории литературы	2	6
49	с другой	7	6
50	все эти	2	6
51	но в	7	6
52	произведения как	3	6
53	что он	3	6
54	еще не	3	6
55	в своей	5	6
56	и для	2	6
57	в данном	4	6
58	и ее	3	6
59	никогда не	2	5
60	того чтобы	2	5
61	не является	4	5
62	высказывания и	2	5
63	другой стороны	5	5
64	материала в	2	5
65	в художественном	4	5
66	но не	11	5
67	и потому	2	5
68	сводится к	7	5
69	без исключения	4	5
70	прежде всего	4	4
71	к тому	4	4
72	и как	3	4
73	для того	2	4
74	в целом	3	4
75	литературного произведения	10	4
76	со стороны	2	4
77	о том	2	4
78	как это	5	4
79	между собой	2	4
80	по себе	2	4
81	в ее	5	4
82	в романе	3	4
83	том что	8	4
84	как в	2	4
85	в слове	3	4
86	могут быть	4	4
87	слова и	2	4
88	из этого	2	4
89	искусства в	4	3
90	в этих	3	3
91	тому что	2	3
92	в какой	2	3
93	это не	2	3
94	можно сказать	5	3
95	того что	4	3
96	имеет место	2	3
97	в виду	5	3
98	и тем	2	3
99	по отношению	9	3
100	и что	3	3
101	и на	2	3
102	не следует	4	3
103	их в	3	3
104	сказать что	4	3
105	в основе	4	3
106	к его	2	3
107	и более	2	3
108	жизни в	2	3
109	в них	2	3
110	того же	2	3
111	во всех	3	3
112	отношению к	9	3
113	ее в	2	3
114	в произведении	3	3
115	в той	3	3
116	уже не	4	3
117	не на	3	3
118	в себе	9	3
119	в сторону	2	2
120	а на	5	2
121	в отношении	3	2
122	была бы	3	2
123	или иной	7	2
124	как система	2	2
125	в этой	2	2
126	художественного творчества	4	2
127	в формах	2	2
128	роман и	2	2
129	совпадает с	2	2
130	известной степени	3	2
131	и др	2	2
132	дело не	2	2
133	что она	2	2
134	отличается от	2	2
135	в своем	2	2
136	отношения к	2	2
137	в самой	2	2
138	из виду	2	2
139	из этих	3	2
140	к которому	4	2
141	художественного восприятия	4	2
142	с его	6	2
143	этом смысле	3	2
144	однако в	4	2
145	к более	2	2
146	превращается в	2	2
147	не как	2	2
148	данный момент	2	2
149	с ее	5	2
150	говорить о	3	2
151	и притом	3	2
152	то в	2	2
153	одна из	2	2
154	что каждый	2	2
155	говорит в	2	2
156	внутреннего мира	2	2
157	одной из	2	2
158	за пределы	2	2
159	этого слова	2	2
160	на почве	3	2
161	даже в	3	2
162	не могло	2	2
163	что и	2	2
164	тем не	3	2
165	внутренней речи	14	2
166	вытекает из	2	2
167	так в	4	2
168	в отличие	7	2
169	соединении с	2	2
170	до известной	2	2
171	в художественной	2	2
172	слова как	5	2
173	в каком	2	2
174	и это	2	2
175	героя и	5	2
176	здесь не	2	2
177	отличие от	7	2
178	в области	6	2
