N	2gram	Nazirov_Tv_2	Komedia
1	и в	20	22
2	том что	4	12
3	в том	8	11
4	но и	8	11
5	не только	13	10
6	из них	2	10
7	в то	10	10
8	как и	6	9
9	и т	13	9
10	может быть	8	9
11	в одном	2	8
12	таким образом	10	8
13	и не	9	8
14	и его	9	8
15	о том	5	8
16	едва ли	2	7
17	в этой	5	7
18	и других	2	7
19	что в	7	6
20	в конце	6	6
21	что он	6	6
22	тому же	2	6
23	и по	2	6
24	то же	7	6
25	не в	4	6
26	а в	4	6
27	в которой	2	6
28	уже в	2	5
29	с другой	2	5
30	прежде всего	8	5
31	при этом	8	5
32	в его	10	5
33	один из	3	5
34	на его	4	5
35	в истории	2	5
36	так и	6	5
37	как в	4	5
38	все это	6	5
39	другой стороны	2	5
40	и даже	5	5
41	потому что	7	5
42	т п	2	5
43	между тем	3	5
44	именно в	6	4
45	в их	3	4
46	к этому	3	4
47	что они	4	4
48	же время	7	4
49	в котором	3	4
50	в нем	3	4
51	на него	2	4
52	так в	2	4
53	т д	11	4
54	тем что	3	4
55	действующих лиц	2	4
56	известно что	2	4
57	ли не	2	4
58	так как	3	4
59	одном из	2	4
60	но в	4	4
61	место в	3	3
62	же как	3	3
63	казалось бы	3	3
64	не менее	2	3
65	в образе	3	3
66	у нас	2	3
67	х годов	3	3
68	и сам	5	3
69	одной из	3	3
70	в начале	3	3
71	и у	2	3
72	в частности	2	3
73	у него	6	3
74	хотя и	4	3
75	он не	3	3
76	все же	5	3
77	отношению к	3	3
78	в честь	2	3
79	в целом	6	3
80	на землю	2	3
81	так же	5	3
82	по отношению	3	3
83	в году	16	3
84	там же	9	3
85	мы не	4	3
86	и на	5	3
87	в этом	8	3
88	и с	8	3
89	в виде	2	3
90	могут быть	2	3
91	и ее	2	3
92	и еще	2	3
93	только в	2	3
94	как правило	2	3
95	его в	3	3
96	в чем	4	3
97	ничего не	4	3
98	к которому	2	3
99	и без	2	2
100	трагедии в	2	2
101	вовсе не	2	2
102	такой же	2	2
103	одна из	3	2
104	но не	5	2
105	как известно	2	2
106	до сих	3	2
107	еще не	5	2
108	в самом	3	2
109	всяком случае	2	2
110	то что	3	2
111	в первой	2	2
112	наряду с	7	2
113	вместе с	3	2
114	как по	2	2
115	не может	7	2
116	что у	4	2
117	в принципе	4	2
118	но это	5	2
119	во всяком	2	2
120	несколько раз	3	2
121	в своих	3	2
122	в себе	3	2
123	отличие от	2	2
124	сих пор	3	2
