N	2gram	Potebnia_M_4	Tvorches
1	и в	23	20
2	не только	10	13
3	и т	7	13
4	никогда не	3	11
5	т д	3	11
6	как бы	5	11
7	в его	5	10
8	таким образом	24	10
9	в то	4	10
10	там же	3	9
11	и его	2	9
12	и не	18	9
13	же с	2	9
14	в том	23	8
15	при этом	15	8
16	но и	11	8
17	может быть	26	8
18	в этом	23	8
19	и с	4	8
20	это не	7	7
21	же время	3	7
22	что в	17	7
23	не может	11	7
24	то же	14	7
25	потому что	33	7
26	что он	4	6
27	как и	14	6
28	так и	6	6
29	все это	5	6
30	именно в	3	6
31	а не	12	6
32	в мире	2	5
33	но это	3	5
34	еще не	3	5
35	например в	3	5
36	и даже	2	5
37	так же	4	5
38	и на	3	5
39	о том	8	5
40	то есть	34	5
41	об этом	2	4
42	что у	3	4
43	мы не	8	4
44	том что	12	4
45	мы видим	2	4
46	на его	3	4
47	хотя и	5	4
48	что она	2	4
49	как в	7	4
50	все эти	3	4
51	тем самым	4	4
52	не в	11	4
53	а в	5	4
54	и потому	10	4
55	если бы	13	4
56	но в	8	4
57	превращается в	2	3
58	человека и	3	3
59	в образе	2	3
60	с ним	5	3
61	отношению к	8	3
62	быть может	4	3
63	для него	5	3
64	что не	6	3
65	в самом	3	3
66	и мы	5	3
67	он не	2	3
68	в котором	4	3
69	и др	2	3
70	один из	2	3
71	в нем	7	3
72	то что	29	3
73	но уже	3	3
74	и это	2	3
75	вместе с	6	3
76	сих пор	4	3
77	по отношению	10	3
78	тогда как	4	3
79	так как	14	3
80	человека в	2	3
81	уже не	3	3
82	в таком	4	3
83	этот вопрос	3	3
84	тем что	10	3
85	в своих	2	3
86	в которых	3	3
87	в себе	14	3
88	его в	4	3
89	нет ничего	3	3
90	между тем	9	3
91	до сих	4	3
92	ни к	2	2
93	уже в	5	2
94	не менее	5	2
95	и есть	3	2
96	давно уже	3	2
97	и без	2	2
98	с другой	2	2
99	по крайней	5	2
100	о человеке	3	2
101	в одном	4	2
102	я не	2	2
103	вовсе не	7	2
104	во всяком	5	2
105	от ее	2	2
106	что на	2	2
107	крайней мере	5	2
108	в ее	2	2
109	в искусстве	3	2
110	что его	2	2
111	у нас	2	2
112	так что	5	2
113	что я	11	2
114	и если	3	2
115	том же	2	2
116	всяком случае	3	2
117	только для	2	2
118	в процессе	3	2
119	в истории	4	2
120	в ту	2	2
121	так в	3	2
122	т п	4	2
123	бы не	3	2
124	не было	12	2
125	и других	3	2
126	но эта	2	2
127	самом деле	3	2
128	и что	7	2
129	и у	2	2
130	на этот	2	2
131	не так	2	2
132	и по	3	2
133	друг друга	2	2
134	во многих	2	2
135	с другими	4	2
136	с ними	3	2
137	имеет в	2	2
138	в виде	2	2
139	могут быть	7	2
140	известно что	6	2
141	в которой	6	2
142	говорить о	5	2
143	и вообще	2	2
144	и только	3	2
145	только в	15	2
146	при помощи	3	2
147	таком случае	2	2
148	из этого	2	2
149	эта мысль	2	2
150	так сказать	5	2
151	их в	3	2
152	одном из	2	2
