N	2gram	Voloshinov_1	VrazhdaK
1	не только	5	9
2	в этом	13	8
3	и что	3	8
4	и в	15	8
5	но и	4	7
6	что в	6	7
7	то что	10	7
8	и все	4	7
9	в нем	4	6
10	все же	5	6
11	– это	15	6
12	и даже	2	6
13	как и	6	6
14	но в	9	6
15	и с	7	6
16	то же	7	5
17	не было	4	5
18	и не	16	5
19	у него	3	5
20	об этом	4	5
21	между тем	2	5
22	в то	6	5
23	же время	5	5
24	во многом	2	4
25	как бы	11	4
26	все это	5	4
27	это не	2	4
28	что он	8	4
29	с ним	12	4
30	в своих	4	4
31	может быть	13	4
32	при этом	7	4
33	в истории	3	4
34	в ней	5	4
35	в этот	4	3
36	я не	3	3
37	с его	8	3
38	в своем	2	3
39	о себе	2	3
40	к этому	7	3
41	матери и	2	3
42	человека в	3	3
43	и у	6	3
44	он был	3	3
45	в том	4	3
46	и его	15	3
47	том что	5	3
48	в его	9	3
49	далеко не	4	3
50	его в	8	3
51	и о	3	3
52	в чем	4	3
53	одним из	3	3
54	он не	4	3
55	и т.п	2	2
56	он сам	4	2
57	в своей	9	2
58	не менее	3	2
59	никогда не	7	2
60	вместе с	4	2
61	отнюдь не	2	2
62	его и	2	2
63	человека с	2	2
64	как раз	2	2
65	не может	13	2
66	по мнению	6	2
67	а в	6	2
68	отношения к	2	2
69	таким образом	21	2
70	рядом с	2	2
71	и образы	3	2
72	на место	3	2
73	в период	5	2
74	но это	2	2
75	о которой	2	2
76	уже не	5	2
77	к себе	3	2
78	мы знаем	7	2
79	с точки	10	2
80	чувств и	6	2
81	в этой	5	2
82	и то	2	2
83	их в	2	2
84	точки зрения	13	2
85	в свою	2	2
86	и ее	3	2
87	в себе	4	2
88	отношение к	7	2
89	для него	5	2
90	еще не	7	2
91	во время	5	2
92	ответ на	2	2
93	одна из	3	2
94	в эту	2	2
95	в него	2	2
