N	2gram	Medvedev_S_1	Narrotol
1	не только	3	26
2	но и	2	15
3	в том	5	14
4	том что	2	13
5	и в	3	13
6	в этом	5	13
7	в частности	2	11
8	только в	2	11
9	может быть	2	10
10	то что	2	8
11	не в	3	8
12	в его	3	6
13	как бы	2	6
14	отношению к	2	5
15	по отношению	2	5
16	таким образом	2	5
17	далеко не	2	5
18	в конце	2	4
19	что в	2	4
20	то же	2	4
21	или даже	2	3
22	для нас	3	2
23	тем более	2	2
24	должна быть	2	2
25	еще не	2	2
26	было бы	2	2
27	и что	2	2
28	более чем	3	2
29	в результате	2	2
30	к которому	2	2
