N	2gram	Tiupa_Anal_3	Psycholo
1	то что	2	37
2	и в	18	30
3	в том	9	27
4	что в	9	24
5	том что	12	21
6	таким образом	4	20
7	как бы	10	19
8	что он	4	17
9	не только	22	16
10	в самом	5	14
11	в этом	14	14
12	как раз	7	13
13	то есть	10	13
14	одной стороны	2	12
15	в сущности	5	12
16	вместе с	2	12
17	с одной	2	12
18	может быть	9	11
19	что мы	2	11
20	о том	6	10
21	никогда не	5	9
22	с другой	7	9
23	не может	2	9
24	сказать что	2	9
25	с тем	2	8
26	мы имеем	5	8
27	к тому	6	8
28	не в	6	8
29	а не	9	8
30	при этом	11	8
31	самом деле	2	8
32	могут быть	2	8
33	по себе	4	7
34	в нем	2	7
35	и как	4	7
36	но не	7	7
37	мы можем	2	7
38	все же	4	7
39	то же	3	7
40	точки зрения	3	7
41	героя и	4	7
42	как это	3	7
43	уже в	3	6
44	в своем	4	6
45	что она	2	6
46	произведение искусства	4	6
47	именно в	3	6
48	как и	14	6
49	совершенно не	2	6
50	в искусстве	2	6
51	и для	2	6
52	но и	13	6
53	и не	12	6
54	и его	13	6
55	и здесь	2	6
56	тем что	2	6
57	когда мы	2	6
58	дело с	3	5
59	только не	3	5
60	совершенно очевидно	2	5
61	в целом	3	5
62	несмотря на	2	5
63	и потому	2	5
64	в этой	6	5
65	что они	3	5
66	еще не	6	5
67	было бы	3	5
68	когда он	2	5
69	один из	2	5
70	другой стороны	5	5
71	сводится к	2	5
72	о смерти	3	5
73	в себе	2	5
74	но в	2	5
75	только в	2	5
76	ответ на	3	5
77	в стихе	2	4
78	в результате	5	4
79	в частности	12	4
80	и все	2	4
81	прежде всего	5	4
82	говорит о	2	4
83	есть не	2	4
84	указывает на	3	4
85	и к	4	4
86	мысль о	3	4
87	в ней	2	4
88	в его	7	4
89	в них	2	4
90	не есть	4	4
91	на примере	2	4
92	как говорит	3	4
93	внимание на	4	4
94	а в	10	4
95	там где	2	4
96	могли бы	2	4
97	в конце	5	4
98	о чем	4	4
99	это не	2	3
100	не как	2	3
101	из этих	3	3
102	состоит в	4	3
103	к этому	3	3
104	об этом	2	3
105	одна из	2	3
106	в свою	5	3
107	для него	6	3
108	он не	6	3
109	в ее	3	3
110	что и	5	3
111	на его	2	3
112	данном случае	3	3
113	так и	14	3
114	со стороны	9	3
115	как в	3	3
116	в их	6	3
117	так в	3	3
118	этом отношении	3	3
119	по поводу	3	3
120	в той	2	3
121	по его	3	3
122	той же	5	3
123	мы не	3	3
124	и на	4	3
125	в данном	4	3
126	перед нами	4	2
127	в ответ	2	2
128	с его	8	2
129	не является	5	2
130	в противоположность	2	2
131	с этим	3	2
132	в одном	4	2
133	в каждом	3	2
134	или иной	5	2
135	можно сказать	4	2
136	же в	2	2
137	в романе	2	2
138	ли не	4	2
139	и того	3	2
140	очевидно что	2	2
141	того же	5	2
142	обе эти	2	2
143	одного и	3	2
144	что по	4	2
145	по преимуществу	2	2
146	с героем	2	2
147	той или	3	2
148	в качестве	12	2
149	о которых	2	2
150	тех пор	2	2
151	гораздо более	2	2
152	не с	2	2
153	осуществляется в	2	2
154	во всех	2	2
155	и той	2	2
156	отношения к	2	2
157	нам кажется	2	2
158	в форме	2	2
159	все это	3	2
160	по отношению	7	2
161	в отличие	2	2
162	это и	2	2
163	одной и	2	2
164	в себя	2	2
165	и вот	2	2
166	приводит к	4	2
167	с точки	2	2
168	и даже	8	2
169	и он	2	2
170	отличие от	2	2
171	в глазах	2	2
172	ничего не	3	2
173	повести белкина	9	2
174	что касается	3	2
175	это по	2	2
176	во всем	3	2
177	в то	3	2
178	вопроса о	2	2
179	все эти	2	2
180	дело в	2	2
181	едва ли	3	2
