N	2gram	Propp_Russ_1	Sovremen
1	не может	4	17
2	точки зрения	3	12
3	может быть	8	12
4	таким образом	6	11
5	мы не	6	9
6	в каждом	2	8
7	не можем	3	7
8	в этом	12	7
9	и в	36	7
10	и не	6	6
11	как и	10	6
12	мы можем	2	6
13	ничего не	3	6
14	все эти	2	5
15	с точки	3	5
16	как бы	5	4
17	в целом	2	4
18	вместе с	10	4
19	это не	10	4
20	а в	9	4
21	не только	22	4
22	в том	17	4
23	в дальнейшем	2	4
24	их в	3	4
25	из них	8	4
26	мы должны	2	4
27	так как	15	4
28	все же	5	3
29	на этой	2	3
30	отнюдь не	2	3
31	между собой	2	3
32	все это	6	3
33	то же	3	3
34	в нем	2	3
35	а не	2	3
36	и к	3	3
37	для нас	6	3
38	у нас	8	3
39	одна из	4	3
40	еще не	4	3
41	при этом	6	3
42	в одном	3	3
43	как он	2	3
44	следующим образом	4	3
45	в области	3	3
46	что она	2	3
47	но в	2	3
48	и потому	2	3
49	в настоящее	3	2
50	что это	3	2
51	не менее	3	2
52	в виде	6	2
53	в некоторых	4	2
54	у него	2	2
55	не будем	3	2
56	быть и	2	2
57	в нашем	2	2
58	приводит к	3	2
59	из этих	4	2
60	как мы	10	2
61	уже не	6	2
62	в свою	3	2
63	и что	4	2
64	в и	17	2
65	и пр	2	2
66	на этот	3	2
67	и по	8	2
68	тем не	3	2
69	мы видим	2	2
70	но все	3	2
71	такой же	2	2
72	свою очередь	2	2
73	на этом	3	2
74	могут быть	2	2
75	с этим	2	2
76	как известно	2	2
77	что в	19	2
78	настоящее время	3	2
79	в один	2	2
80	в его	2	2
