N	2gram	Vinokur_St_2	Narrotol
1	не только	19	31
2	но и	19	27
3	и не	9	23
4	при этом	2	19
5	может быть	2	15
6	в частности	4	14
7	в качестве	5	14
8	как и	2	13
9	а не	5	13
10	только в	2	12
11	в этом	21	12
12	и в	29	11
13	в данном	2	11
14	такого рода	2	10
15	своего рода	5	10
16	и его	6	10
17	тогда как	2	10
18	времени и	4	9
19	то что	11	9
20	то же	2	8
21	в том	27	8
22	со стороны	2	8
23	не может	2	8
24	если бы	2	7
25	том что	27	7
26	но в	8	7
27	к тому	10	6
28	об этом	6	6
29	а также	2	6
30	не в	4	6
31	и он	3	6
32	в самом	7	6
33	не мог	3	6
34	как бы	5	6
35	как раз	8	6
36	тому же	3	6
37	в себе	2	6
38	в его	13	6
39	в этой	2	6
40	действующих лиц	4	5
41	в своей	7	5
42	так и	9	5
43	и на	6	5
44	потому что	9	5
45	точки зрения	5	5
46	с его	2	4
47	о чем	5	4
48	никогда не	3	4
49	что на	3	4
50	все же	6	4
51	для него	4	4
52	но не	3	4
53	прежде всего	5	4
54	в ней	7	4
55	в нем	4	4
56	из них	3	4
57	не по	2	4
58	по себе	3	4
59	как в	3	4
60	внимание на	4	4
61	того что	5	4
62	того чтобы	6	4
63	в речи	4	4
64	хотя и	4	4
65	на себя	3	4
66	в то	2	4
67	что у	4	4
68	о том	17	4
69	в одном	6	4
70	не менее	3	3
71	но они	2	3
72	что в	19	3
73	в своем	9	3
74	что он	13	3
75	идет о	3	3
76	тем не	2	3
77	у нас	3	3
78	и как	2	3
79	в начале	3	3
80	себя внимание	2	3
81	самом деле	3	3
82	как известно	2	3
83	для того	7	3
84	и о	4	3
85	он не	9	3
86	еще в	2	3
87	речь идет	4	3
88	не является	3	3
89	не было	3	3
90	этом отношении	9	3
91	именно в	4	3
92	обращает на	3	3
93	также и	2	3
94	и с	4	3
95	в русской	5	3
96	у карамзина	4	3
97	как это	2	3
98	между тем	5	3
99	в известном	3	2
100	о своей	2	2
101	в этих	3	2
102	не могло	3	2
103	в конце	2	2
104	на то	2	2
105	в романе	4	2
106	в москве	2	2
107	по своему	2	2
108	чем он	2	2
109	до конца	3	2
110	до сих	6	2
111	как у	3	2
112	этом месте	2	2
113	никак не	2	2
114	в обоих	3	2
115	всяком случае	3	2
116	не имеет	2	2
117	оно не	3	2
118	хотя бы	3	2
119	раз в	2	2
120	вместе с	7	2
121	дело не	2	2
122	сих пор	5	2
123	другой стороны	3	2
124	только что	2	2
125	в отличие	2	2
126	в особенности	2	2
127	если не	2	2
128	в году	3	2
129	в той	5	2
130	тем же	2	2
131	и даже	3	2
132	с другой	4	2
133	столько же	3	2
134	особенно в	2	2
135	отличие от	2	2
136	ничего не	4	2
137	сами по	2	2
138	в результате	2	2
139	сказать что	2	2
140	во всяком	3	2
141	связи с	4	2
142	дело в	4	2
143	в области	2	2
144	это было	2	2
