N	2gram	Voloshinov_1	Sovremen
1	не может	8	17
2	точки зрения	7	12
3	может быть	8	12
4	таким образом	6	11
5	мы не	4	9
6	в каждом	4	8
7	в этом	2	7
8	и в	13	7
9	и не	8	6
10	как и	3	6
11	мы можем	4	6
12	что же	3	5
13	прежде всего	9	5
14	все эти	2	5
15	и наконец	5	5
16	с точки	5	5
17	как бы	6	4
18	в целом	2	4
19	в зависимости	2	4
20	а в	2	4
21	не только	6	4
22	с помощью	2	4
23	в том	2	4
24	точку зрения	3	4
25	мы должны	6	4
26	зависимости от	2	4
27	так как	3	4
28	уже в	2	3
29	но мы	4	3
30	самого начала	2	3
31	все же	5	3
32	мы получим	2	3
33	все это	4	3
34	то же	4	3
35	на две	2	3
36	в нем	2	3
37	а не	2	3
38	и к	2	3
39	с самого	2	3
40	не в	3	3
41	при этом	2	3
42	было бы	4	3
43	и т.д	5	3
44	в одном	3	3
45	и все	3	3
46	в себе	3	3
47	в области	2	3
48	но в	4	3
49	может иметь	2	2
50	не менее	2	2
51	говорить об	2	2
52	с одной	2	2
53	самом деле	3	2
54	роль в	2	2
55	и пр	7	2
56	конечно в	2	2
57	мы видим	2	2
58	могут быть	2	2
59	с этим	3	2
60	что в	3	2
61	говорить о	3	2
62	тот же	2	2
63	в самом	2	2
64	в которой	3	2
65	в его	7	2
66	в которую	2	2
