N	2gram	Propp_Isto_3	Freidism
1	таким образом	10	24
2	и не	12	23
3	не может	4	20
4	точки зрения	2	19
5	прежде всего	3	18
6	к отцу	2	16
7	и пр	11	15
8	в этом	17	15
9	в его	3	15
10	мы можем	6	13
11	может быть	11	13
12	и его	4	12
13	как и	3	11
14	то что	7	11
15	все эти	4	11
16	и потому	2	10
17	так и	2	10
18	как мы	8	10
19	его в	3	10
20	но в	10	10
21	и в	22	9
22	по отношению	2	9
23	все что	3	8
24	что он	9	8
25	отношению к	2	8
26	еще не	10	8
27	он не	5	8
28	не только	14	8
29	то же	6	8
30	только в	4	8
31	и все	3	8
32	так как	7	8
33	мы знаем	2	7
34	ни в	2	7
35	к нему	5	7
36	во всяком	2	7
37	один из	5	7
38	мы видели	13	7
39	отношение к	4	7
40	сказать что	3	7
41	мы уже	6	7
42	всяком случае	2	7
43	никогда не	3	6
44	вовсе не	2	6
45	и ее	3	6
46	того что	5	6
47	в ней	2	6
48	совершенно не	2	6
49	и с	4	6
50	и к	3	5
51	знаем что	2	5
52	связь с	6	5
53	в свою	4	5
54	можно сказать	2	5
55	не в	4	5
56	в этой	5	5
57	в чем	3	5
58	в то	2	5
59	что в	15	5
60	но и	12	5
61	на самом	2	5
62	а в	6	5
63	и на	4	5
64	могут быть	5	5
65	с этим	8	5
66	мы должны	7	5
67	большинстве случаев	2	5
68	не менее	5	4
69	но не	7	4
70	я не	3	4
71	в котором	2	4
72	связанных с	2	4
73	и др	2	4
74	в этих	11	4
75	из этих	3	4
76	в пределах	4	4
77	в жизни	2	4
78	не дает	2	4
79	к тому	3	4
80	всех этих	2	4
81	на этом	4	4
82	при этом	2	4
83	и о	2	4
84	в нем	9	4
85	все же	5	4
86	данном случае	3	4
87	не было	2	4
88	уже не	7	4
89	и для	2	4
90	той же	2	4
91	с ними	3	4
92	в данном	4	4
93	этот вопрос	2	4
94	потому что	3	4
95	во время	6	4
96	если бы	6	3
97	и есть	2	3
98	в них	6	3
99	и от	3	3
100	о себе	3	3
101	на себя	2	3
102	и как	3	3
103	но это	3	3
104	она не	4	3
105	было бы	3	3
106	и она	3	3
107	из которого	2	3
108	ее в	3	3
109	жизни и	2	3
110	вместе с	9	3
111	со стороны	3	3
112	как в	2	3
113	и вот	2	3
114	и что	2	3
115	мы имеем	19	3
116	уже знаем	2	3
117	такой же	2	3
118	у него	3	3
119	одна из	2	3
120	есть и	5	2
121	в самых	2	2
122	видели что	4	2
123	но все	2	2
124	только не	2	2
125	и другие	4	2
126	быть и	3	2
127	его и	4	2
128	матери и	2	2
129	с другой	7	2
130	это не	6	2
131	к этому	7	2
132	и уже	2	2
133	тем не	5	2
134	для нас	4	2
135	да и	2	2
136	том что	8	2
137	они и	3	2
138	а не	6	2
139	всю жизнь	2	2
140	связано с	4	2
141	одной стороны	2	2
142	из них	7	2
143	не совсем	3	2
144	относится к	2	2
145	в него	2	2
146	в своем	2	2
147	себе и	2	2
148	в этот	2	2
149	для нее	2	2
150	сих пор	5	2
151	что она	5	2
152	приходит в	3	2
153	только на	2	2
154	с одной	2	2
155	и они	4	2
156	связи в	3	2
157	из того	2	2
158	и у	3	2
159	и даже	2	2
160	половой зрелости	2	2
161	так же	3	2
162	роль в	2	2
163	мы видим	8	2
164	и то	2	2
165	очень много	2	2
166	их в	3	2
167	случае в	2	2
168	они не	4	2
169	из этой	2	2
170	что и	9	2
171	в другом	2	2
172	при помощи	3	2
173	до сих	5	2
174	как это	4	2
175	выйти за	2	2
