N	2gram	Kanaev_Sov_1	Problema
1	и в	7	32
2	и не	6	31
3	не менее	2	19
4	в этом	7	19
5	тем не	2	18
6	не только	4	17
7	а не	3	15
8	в виде	2	15
9	в себе	3	15
10	как бы	4	14
11	может быть	12	14
12	у нас	3	14
13	но в	3	14
14	в нем	3	13
15	что в	2	12
16	и даже	2	11
17	так как	4	11
18	если мы	4	11
19	то же	3	10
20	прежде всего	5	10
21	в этой	3	10
22	отнюдь не	3	10
23	ничего не	6	10
24	в том	4	9
25	и что	2	9
26	же самое	2	9
27	еще не	3	9
28	что же	5	9
29	в таком	2	9
30	не может	17	8
31	все эти	5	8
32	когда мы	3	8
33	было бы	3	8
34	такого рода	2	7
35	все это	3	7
36	и все	3	7
37	как мы	2	7
38	во всяком	2	7
39	и есть	2	6
40	в конце	3	6
41	при этом	3	6
42	в самом	2	6
43	то и	2	6
44	таким образом	11	6
45	это не	4	6
46	говорить о	2	6
47	совершенно не	2	6
48	в его	2	6
49	самом деле	2	6
50	что такое	2	6
51	или иной	2	5
52	для нас	3	5
53	что она	3	5
54	мы должны	4	5
55	не в	3	4
56	в дальнейшем	4	4
57	и пр	2	4
58	а в	4	4
59	их в	4	4
60	как он	3	4
61	мы можем	6	4
62	уже в	3	3
63	что это	2	3
64	что все	2	3
65	но все	2	3
66	всяком случае	2	3
67	в настоящее	2	3
68	из них	4	3
69	с этим	2	3
70	точки зрения	12	3
71	настоящее время	2	3
72	и во	2	3
73	ясно что	3	3
74	как и	6	3
75	быть и	2	3
76	уже не	2	3
77	на этот	2	3
78	с точки	5	3
79	мы получаем	3	3
80	не могут	2	2
81	мы называем	3	2
82	на его	2	2
83	на этой	3	2
84	говорим о	2	2
85	в результате	6	2
86	может иметь	2	2
87	знаем что	2	2
88	из этих	2	2
89	в первом	3	2
90	же мы	2	2
91	могут быть	2	2
92	он должен	2	2
93	конечно в	2	2
94	мы видим	2	2
95	ведь это	3	2
96	со всеми	2	2
97	и потому	3	2
98	нет и	4	2
99	не будем	2	2
100	вместе с	4	2
101	мы не	9	2
102	он в	3	2
103	в науке	2	2
104	в которой	2	2
105	в области	3	2
106	не можем	7	2
