N	3gram	Losev_Vlad_3	Psycholo
1	на то что	2	16
2	в том что	10	14
3	с одной стороны	3	12
4	что в этом	2	6
5	к тому что	2	6
6	о том что	8	6
7	с другой стороны	2	5
8	а с другой	2	4
9	в этом отношении	2	3
10	иметь в виду	2	3
11	сам по себе	2	3
12	вместе с тем	6	3
13	и то что	4	3
14	в конце концов	5	2
15	в данном случае	2	2
16	в отличие от	3	2
17	сводится к тому	2	2
18	так же как	2	2
19	на первый план	2	2
20	то что в	3	2
21	с точки зрения	6	2
22	не может быть	6	2
23	само по себе	3	2
24	что это есть	2	2
