N	3gram	Losev_Vesc_1	Problema
1	и т д	19	13
2	тем не менее	3	10
3	в том что	4	9
4	сама по себе	3	8
5	вовсе не есть	6	8
6	в данном случае	2	7
7	и то что	3	7
8	сами по себе	3	6
9	во всяком случае	2	6
10	сам по себе	3	6
11	по крайней мере	4	5
12	с другой стороны	2	5
13	не может быть	6	5
14	т д и	5	4
15	той или другой	2	4
16	но даже и	2	4
17	что иное как	7	4
18	есть не что	5	4
19	бы то ни	4	4
20	не что иное	7	4
21	и то же	4	4
22	д и т	5	4
23	то ни было	4	3
24	что же такое	3	3
25	то что у	2	3
26	дело в том	2	3
27	одно и то	4	3
28	о том что	4	3
29	в конце концов	2	3
30	содержит в себе	4	3
31	не есть ни	3	3
32	по сравнению с	6	2
33	в той или	2	2
34	и больше ничего	8	2
35	с точки зрения	3	2
36	не только в	4	2
37	можно сказать что	3	2
38	если мы возьмем	2	2
39	то это значит	2	2
40	только то что	2	2
41	потому что они	3	2
42	ничто не мешает	2	2
43	у нас в	2	2
44	не есть просто	4	2
45	это значит что	19	2
46	и это вовсе	2	2
