N	2gram	Vygotskiy__2	VrazhdaK
1	не только	12	9
2	в этом	13	8
3	и что	22	8
4	и в	32	8
5	но и	10	7
6	что в	20	7
7	то что	21	7
8	и все	4	7
9	в нем	4	6
10	все же	4	6
11	и даже	5	6
12	в романе	2	6
13	как и	10	6
14	но в	3	6
15	и с	4	6
16	то же	13	5
17	не было	2	5
18	и не	10	5
19	об этом	3	5
20	между тем	4	5
21	в то	5	5
22	же время	2	5
23	для нас	2	4
24	как бы	6	4
25	все это	5	4
26	целый ряд	6	4
27	это не	2	4
28	что он	13	4
29	так же	18	4
30	в своих	9	4
31	может быть	18	4
32	при этом	13	4
33	несмотря на	4	4
34	о том	6	4
35	в ней	5	4
36	в виду	3	4
37	с его	2	3
38	что у	5	3
39	в конце	3	3
40	на то	11	3
41	и у	2	3
42	в том	37	3
43	и его	7	3
44	том что	21	3
45	и как	7	3
46	тем что	9	3
47	в его	2	3
48	далеко не	5	3
49	наряду с	4	3
50	но он	3	3
51	в чем	4	3
52	он не	6	3
53	место в	2	2
54	его с	2	2
55	а с	2	2
56	в своей	3	2
57	и это	4	2
58	из них	4	2
59	не менее	8	2
60	никогда не	9	2
61	вместе с	2	2
62	отнюдь не	5	2
63	в них	2	2
64	столь же	4	2
65	как раз	5	2
66	так в	2	2
67	и далее	2	2
68	не может	17	2
69	а в	4	2
70	таким образом	21	2
71	это в	2	2
72	но это	2	2
73	от сознания	2	2
74	и он	3	2
75	мы знаем	7	2
76	с точки	10	2
77	пришел к	2	2
78	тем более	2	2
79	в этой	6	2
80	и то	3	2
81	же как	4	2
82	их в	2	2
83	но как	3	2
84	точки зрения	17	2
85	в свою	3	2
86	и ее	3	2
87	в себе	2	2
88	отношение к	2	2
89	в нашей	3	2
90	еще не	2	2
91	на это	3	2
92	при помощи	10	2
93	ответ на	2	2
94	к ним	2	2
95	том же	2	2
96	в него	2	2
