N	2gram	Ircho_Kome_1	Narrotol
1	не только	10	26
2	но и	11	15
3	в том	11	14
4	при этом	5	14
5	в качестве	4	14
6	и не	8	14
7	том что	12	13
8	и в	22	13
9	в этом	3	13
10	такого рода	6	12
11	в частности	3	11
12	только в	3	11
13	может быть	9	10
14	к тому	6	9
15	так и	5	9
16	а в	6	9
17	то что	2	8
18	в себе	2	8
19	не может	2	8
20	не в	6	8
21	в рамках	2	6
22	прежде всего	5	6
23	вслед за	2	6
24	в его	5	6
25	со стороны	2	6
26	все же	3	6
27	у него	3	6
28	а также	4	6
29	ничего не	3	6
30	но в	4	6
31	место в	3	5
32	точки зрения	4	5
33	тем не	2	5
34	что он	6	5
35	одной стороны	3	5
36	хотя и	3	5
37	он не	3	5
38	в котором	4	5
39	и тем	2	5
40	в нем	4	5
41	отношению к	3	5
42	на него	4	5
43	как в	5	5
44	в форме	2	5
45	по отношению	3	5
46	таким образом	8	5
47	с одной	3	5
48	с другой	5	5
49	на протяжении	4	5
50	отличие от	2	5
51	в то	10	5
52	о том	8	5
53	не менее	3	4
54	в конце	6	4
55	же в	4	4
56	тому же	6	4
57	как и	9	4
58	времени и	2	4
59	все что	2	4
60	что в	6	4
61	не к	2	4
62	то же	6	4
63	и у	3	4
64	войны и	5	4
65	в силу	2	4
66	в другом	4	4
67	в этой	7	4
68	и все	3	4
69	как это	3	4
70	в себя	2	4
71	в известном	2	3
72	да и	3	3
73	а к	2	3
74	что они	4	3
75	одна из	2	3
76	но не	2	3
77	же время	4	3
78	и сам	3	3
79	к ней	2	3
80	как раз	3	3
81	для себя	2	3
82	один из	5	3
83	в целом	3	3
84	как по	2	3
85	то и	2	3
86	и даже	5	3
87	и по	6	3
88	и его	8	3
89	этом отношении	3	3
90	не следует	2	3
91	между тем	5	3
92	действующих лиц	4	3
93	по своей	2	3
94	как правило	3	3
95	едва ли	7	3
96	в принципе	2	2
97	же как	3	2
98	а то	2	2
99	однако в	3	2
100	что у	2	2
101	столь же	2	2
102	вовсе не	2	2
103	и здесь	2	2
104	и внутренней	2	2
105	из наиболее	2	2
106	в свою	2	2
107	на то	3	2
108	и т	9	2
109	в начале	3	2
110	по своему	3	2
111	когда же	5	2
112	участие в	4	2
113	еще не	2	2
114	было бы	2	2
115	по поводу	4	2
116	во второй	3	2
117	со своим	5	2
118	со своей	2	2
119	в самом	2	2
120	несмотря на	4	2
121	что и	4	2
122	раз в	2	2
123	нового времени	5	2
124	в настоящем	2	2
125	в других	2	2
126	именно в	4	2
127	у нас	3	2
128	в течение	3	2
129	только что	2	2
130	так же	3	2
131	мы не	3	2
132	в чем	3	2
133	и опять	4	2
134	но это	2	2
135	в результате	4	2
136	в виде	3	2
137	но он	2	2
138	в своих	2	2
139	т п	5	2
140	во время	5	2
141	потому что	5	2
142	в области	2	2
143	в сознании	3	2
144	к которому	3	2
