N	2gram	Losev_Vlad_2	KFilosof
1	может быть	7	43
2	в его	11	39
3	в нем	4	31
4	не может	9	27
5	и не	18	26
6	в бытии	2	26
7	и в	30	22
8	в котором	5	21
9	в себе	6	21
10	для меня	4	20
11	не есть	4	19
12	а не	7	17
13	и его	6	17
14	только в	6	16
15	точки зрения	7	13
16	в этом	20	13
17	ни в	7	12
18	для него	9	12
19	но не	3	12
20	и это	3	12
21	все эти	5	11
22	в своей	5	11
23	не в	9	11
24	к нему	2	11
25	в своем	8	10
26	это не	2	10
27	все это	5	10
28	во всех	3	10
29	с точки	3	10
30	и есть	2	9
31	в целом	4	9
32	но и	8	9
33	в их	2	9
34	как бы	5	9
35	и все	7	9
36	бытия и	2	9
37	и для	3	9
38	не было	10	8
39	было бы	9	8
40	жизни и	6	8
41	со стороны	4	8
42	вовсе не	4	7
43	конечно не	4	7
44	что и	3	7
45	то что	20	7
46	себя в	2	7
47	я должен	2	7
48	я не	4	6
49	и я	5	6
50	в том	18	6
51	но это	4	6
52	отношение к	4	6
53	он не	4	6
54	уже не	3	6
55	никогда не	7	5
56	хотя бы	3	5
57	то же	4	5
58	но все	2	5
59	именно в	4	5
60	не имеет	2	5
61	должно быть	3	5
62	его в	4	5
63	с ним	5	5
64	но в	8	5
65	жизни в	2	5
66	как и	5	5
67	что я	3	5
68	не только	12	5
69	для себя	5	5
70	все же	9	5
71	бытия в	2	5
72	ко всему	4	5
73	что в	12	4
74	для нас	7	4
75	здесь мы	3	4
76	при этом	5	4
77	в своих	2	4
78	нисколько не	2	4
79	быть в	3	4
80	том что	12	4
81	о нем	2	4
82	а в	11	4
83	в чем	2	4
84	что это	4	3
85	не менее	7	3
86	из его	2	3
87	в свою	3	3
88	до конца	7	3
89	в виду	2	3
90	себе и	2	3
91	меня и	2	3
92	того что	5	3
93	где он	3	3
94	и на	4	3
95	в ней	4	3
96	в то	9	3
97	о том	4	3
98	мы не	2	3
99	всех этих	3	3
100	тогда когда	2	3
101	меня в	2	3
102	меня не	2	3
103	по своему	2	3
104	не могу	2	3
105	для того	2	3
106	что не	2	3
107	и жизни	2	3
108	здесь не	4	3
109	ничего не	2	3
110	его и	2	2
111	прежде всего	6	2
112	ему в	2	2
113	тем не	6	2
114	своем месте	2	2
115	и как	3	2
116	совсем не	4	2
117	же время	3	2
118	и мы	4	2
119	не о	2	2
120	его жизни	6	2
121	по себе	5	2
122	как к	2	2
123	на первом	2	2
124	потому что	9	2
125	он и	3	2
126	а это	3	2
127	я и	2	2
128	я его	3	2
129	с его	4	2
130	и то	5	2
131	с тем	2	2
132	раз и	2	2
133	к этому	6	2
134	человек не	2	2
135	что он	13	2
136	него и	2	2
137	тот же	5	2
138	и может	2	2
139	в это	4	2
140	кажется что	2	2
141	есть его	2	2
142	и потому	2	2
143	можно и	2	2
144	так и	5	2
145	как в	3	2
146	в виде	3	2
147	если не	2	2
148	еще более	3	2
149	и она	2	2
150	того чтобы	2	2
151	в данном	3	2
152	в этой	4	2
153	которой он	2	2
154	его на	3	2
155	дело в	3	2
156	или как	2	2
157	едва ли	3	2
158	же с	13	2
159	в области	3	2
