N	2gram	Tiupa_Vved_1	Tvorches
1	и в	13	21
2	как бы	4	17
3	в то	4	15
4	в его	4	13
5	то же	5	13
6	времени в	3	13
7	что в	3	12
8	как и	11	12
9	же время	3	12
10	то есть	8	12
11	том что	7	11
12	в романе	6	10
13	как в	4	8
14	он не	3	8
15	то что	6	8
16	в свою	4	7
17	в том	10	7
18	тем самым	5	7
19	при этом	26	7
20	не только	20	7
21	и не	12	7
22	и на	3	7
23	но в	6	7
24	жизни в	4	6
25	и все	4	6
26	не менее	4	6
27	для него	3	6
28	в котором	8	6
29	а в	6	6
30	и его	5	6
31	в этом	21	6
32	о том	5	6
33	отнюдь не	7	5
34	а не	15	5
35	но это	3	5
36	может быть	18	5
37	все же	6	5
38	таким образом	4	5
39	в своих	2	5
40	потому что	5	5
41	как будто	4	5
42	только в	6	5
43	в своем	5	4
44	прежде всего	7	4
45	в мире	8	4
46	времени и	7	4
47	в целом	3	4
48	одним из	5	4
49	по сути	2	4
50	один из	3	4
51	своего рода	10	4
52	в своей	5	4
53	не может	7	4
54	это не	6	4
55	и от	2	4
56	в финале	2	4
57	не существует	2	3
58	место в	2	3
59	никогда не	4	3
60	с другой	5	3
61	с ним	3	3
62	в соответствии	6	3
63	соответствии с	6	3
64	но не	5	3
65	в самом	2	3
66	в нем	5	3
67	жизни и	7	3
68	но и	19	3
69	во времени	2	3
70	который в	2	3
71	уже не	5	3
72	на самом	4	3
73	того что	6	3
74	и по	3	3
75	и с	2	3
76	хотя и	7	3
77	в рассказе	6	3
78	далеко не	4	3
79	представляет собой	15	3
80	в основе	3	2
81	перед нами	6	2
82	зависит от	2	2
83	в частности	13	2
84	однако в	4	2
85	в этих	3	2
86	в качестве	8	2
87	в настоящем	2	2
88	не столько	4	2
89	в жизни	4	2
90	одного из	3	2
91	к этому	2	2
92	в литературе	2	2
93	можно сказать	4	2
94	что и	2	2
95	об этом	4	2
96	не в	6	2
97	одна из	4	2
98	до конца	3	2
99	к тому	6	2
100	в одной	2	2
101	в ней	4	2
102	если в	2	2
103	и тем	2	2
104	тем не	3	2
105	еще в	2	2
106	данном случае	6	2
107	так и	8	2
108	приводит к	2	2
109	вслед за	2	2
110	в отличие	2	2
111	и того	2	2
112	самом деле	3	2
113	в направлении	2	2
114	и наконец	2	2
115	на смену	2	2
116	отличие от	2	2
117	свидетельствует о	4	2
118	в первом	2	2
119	могут быть	4	2
120	это время	2	2
121	в данном	13	2
122	в себе	5	2
123	о котором	2	2
124	героя и	3	2
125	так сказать	2	2
126	мира в	8	2
