N	2gram	Berdyaev_M_1	OGranits
1	и в	28	13
2	и его	9	12
3	прежде всего	10	9
4	не может	28	8
5	и не	11	8
6	может быть	30	8
7	и их	3	7
8	точки зрения	4	7
9	в его	9	7
10	не только	29	6
11	то что	5	6
12	только в	6	6
13	как бы	2	6
14	все же	2	5
15	хотя бы	3	5
16	в своей	15	4
17	все это	6	4
18	только и	3	4
19	лишь в	6	4
20	было бы	10	4
21	но в	7	4
22	связана с	2	3
23	отношению к	2	3
24	что в	10	3
25	никогда не	14	3
26	но и	25	3
27	в их	4	3
28	по отношению	2	3
29	вряд ли	3	3
30	не как	4	3
31	и все	10	3
32	я хочу	3	3
33	в ее	3	3
34	как и	5	3
35	не в	16	3
36	за пределы	4	3
37	в которой	6	3
38	в себе	7	3
39	с этим	3	3
40	и для	2	3
41	так как	3	3
42	еще в	2	2
43	и этот	4	2
44	уже в	4	2
45	с этой	4	2
46	а как	2	2
47	в нем	13	2
48	а не	25	2
49	в этот	2	2
50	в них	4	2
51	входит в	2	2
52	а в	4	2
53	все эти	2	2
54	есть не	4	2
55	к тому	3	2
56	и к	2	2
57	как в	2	2
58	если бы	2	2
59	не имеет	3	2
60	в том	6	2
61	не мог	3	2
62	том что	3	2
63	мы видим	2	2
64	в этом	20	2
65	от этого	2	2
66	учение о	3	2
67	тем что	4	2
68	могут быть	2	2
69	смысле слова	4	2
70	для него	11	2
71	нет ничего	7	2
72	в самом	11	2
73	мог бы	4	2
74	бы в	2	2
75	в ней	15	2
