N	2gram	Tiupa_Disk_1	Myslijsy
1	потому что	4	52
2	то есть	20	42
3	и в	16	39
4	может быть	17	27
5	в том	23	26
6	только в	7	25
7	что в	4	22
8	не может	9	22
9	а не	22	21
10	не только	28	21
11	в нем	9	20
12	но и	14	20
13	и не	11	18
14	языка и	2	17
15	том что	19	16
16	не в	7	15
17	в этом	15	15
18	отношению к	9	13
19	так и	8	13
20	по отношению	9	13
21	в себе	7	13
22	таким образом	3	13
23	по себе	3	10
24	что не	4	10
25	не есть	2	10
26	то что	5	10
27	как в	10	10
28	и что	2	10
29	могут быть	4	9
30	как и	16	9
31	мысли и	2	9
32	тем что	3	9
33	но в	8	9
34	в одном	2	8
35	но не	11	8
36	со стороны	7	8
37	того что	3	8
38	точки зрения	3	8
39	с другой	10	7
40	в истории	4	7
41	с этим	3	7
42	должны быть	3	7
43	это не	3	7
44	не менее	2	6
45	языка с	2	6
46	по мере	2	6
47	и как	6	6
48	еще не	14	6
49	как бы	5	6
50	что и	3	6
51	все же	3	6
52	то же	7	6
53	при этом	13	6
54	и по	2	6
55	зависит от	2	5
56	и потому	3	5
57	в его	7	5
58	в первом	3	5
59	другой стороны	3	5
60	во всех	5	5
61	а в	5	5
62	во втором	4	5
63	и его	2	5
64	не следует	2	5
65	между тем	4	5
66	возможно только	2	5
67	никогда не	2	4
68	однако в	3	4
69	прежде всего	11	4
70	не более	2	4
71	в свою	3	4
72	свою очередь	3	4
73	же время	4	4
74	для него	4	4
75	в действительности	3	4
76	к тому	5	4
77	в своих	3	4
78	в каждом	2	4
79	мысли о	2	4
80	бы быть	3	4
81	не было	7	4
82	и даже	3	4
83	тому как	3	4
84	в то	3	4
85	в них	4	3
86	столь же	3	3
87	оно не	2	3
88	и во	2	3
89	не могло	2	3
90	о котором	2	3
91	так например	2	3
92	в этой	2	3
93	в своем	6	3
94	того же	3	3
95	одной стороны	9	3
96	в своей	5	3
97	для себя	4	3
98	и тем	2	3
99	связи с	4	3
100	в самом	3	3
101	и без	2	3
102	в основании	3	3
103	с одной	9	3
104	хотя в	2	3
105	заключается в	3	3
106	но при	3	3
107	или даже	2	3
108	сказать что	3	3
109	во всяком	2	3
110	хотя и	2	3
111	подобно тому	2	3
112	и понимание	2	3
113	и вообще	2	3
114	и все	2	3
115	к которому	2	3
116	но как	2	3
117	слова в	2	2
118	могла бы	2	2
119	то она	2	2
120	и есть	2	2
121	в разные	2	2
122	по крайней	2	2
123	одного и	2	2
124	одного из	2	2
125	сознания в	2	2
126	стороны и	2	2
127	как мы	2	2
128	в г	2	2
129	уже не	4	2
130	с понятием	2	2
131	в сущности	2	2
132	значительной степени	2	2
133	за пределы	2	2
134	имеет место	3	2
135	и о	4	2
136	одним из	2	2
137	к другим	2	2
138	в виду	2	2
139	крайней мере	2	2
140	с ее	2	2
141	в целом	4	2
142	что же	2	2
143	в их	5	2
144	тогда как	19	2
145	времени и	3	2
146	и того	3	2
147	или в	2	2
148	хотя бы	3	2
149	к мысли	2	2
150	не ограничивается	2	2
151	служит для	2	2
152	к ним	3	2
153	в начале	2	2
154	что даже	2	2
155	о том	8	2
156	есть в	2	2
157	так сказать	2	2
158	заметить что	2	2
