N	2gram	Propp_Morf_1	FransuaR
1	и в	13	56
2	таким образом	21	17
3	все эти	2	15
4	в этом	14	14
5	в том	6	13
6	так и	6	13
7	в то	3	12
8	в этих	13	11
9	как бы	3	11
10	то же	7	11
11	еще не	3	10
12	только в	2	9
13	но и	4	9
14	и не	12	9
15	том что	4	8
16	по своему	2	8
17	в сущности	3	8
18	не только	4	8
19	и др	10	8
20	во всех	4	8
21	и их	2	8
22	в частности	2	7
23	в большинстве	3	7
24	как мы	6	7
25	прежде всего	9	6
26	вовсе не	4	6
27	мы видим	13	6
28	в этой	2	6
29	потому что	3	6
30	на его	4	6
31	точки зрения	2	6
32	связи с	10	6
33	большинстве случаев	3	6
34	но в	2	6
35	но не	4	5
36	с его	2	5
37	в пределах	3	5
38	как и	3	5
39	есть и	4	5
40	и другие	6	5
41	он не	3	5
42	один из	5	5
43	что в	8	5
44	в результате	7	5
45	во время	6	5
46	и ее	3	4
47	в качестве	5	4
48	например в	2	4
49	и к	4	4
50	того чтобы	3	4
51	ту же	2	4
52	о том	2	4
53	так как	16	4
54	одна из	4	4
55	в которой	3	4
56	перед нами	10	3
57	в образе	4	3
58	как например	2	3
59	главным образом	4	3
60	и здесь	5	3
61	может быть	52	3
62	в некоторых	3	3
63	а также	4	3
64	в настоящее	3	3
65	что и	7	3
66	то что	8	3
67	в форме	6	3
68	не на	2	3
69	в связи	9	3
70	там где	5	3
71	здесь мы	3	3
72	уже не	2	3
73	не в	3	3
74	сказать что	2	3
75	между тем	5	3
76	в другом	2	3
77	настоящее время	3	3
78	в таких	2	3
79	если бы	2	2
80	в виде	2	2
81	видим что	10	2
82	в нашем	3	2
83	на котором	3	2
84	по всему	2	2
85	с другой	8	2
86	это не	6	2
87	в других	3	2
88	на самом	4	2
89	к этому	3	2
90	что он	4	2
91	можно сказать	2	2
92	так например	3	2
93	ни было	2	2
94	и как	5	2
95	но это	6	2
96	этот момент	3	2
97	совсем не	3	2
98	а на	3	2
99	то время	3	2
100	было бы	3	2
101	из них	3	2
102	несмотря на	4	2
103	а в	7	2
104	хотя и	3	2
105	все же	7	2
106	действующих лиц	11	2
107	благодаря этому	3	2
108	самом деле	4	2
109	дело не	2	2
110	что она	2	2
111	или менее	2	2
112	другой стороны	4	2
113	целый ряд	3	2
114	так же	3	2
115	не может	14	2
116	в каком	2	2
117	того как	2	2
118	то ни	3	2
119	а не	11	2
120	с собой	3	2
121	для того	2	2
122	из которых	3	2
123	к нему	3	2
124	и для	2	2
125	с точки	2	2
126	его в	2	2
127	бы то	3	2
128	мы не	8	2
129	между собою	2	2
130	к началу	4	2
131	также и	4	2
132	в которых	2	2
133	что они	2	2
134	далеко не	5	2
135	что эти	2	2
136	с тем	2	2
137	нашей работы	2	2
138	более или	2	2
