N	2gram	Propp_Morf_1	slovoVRo
1	и в	13	39
2	может быть	52	37
3	и т	41	35
4	не только	4	24
5	и не	12	22
6	но и	4	21
7	не может	14	20
8	в этом	14	16
9	так и	6	15
10	а не	11	14
11	как в	3	13
12	в пределах	3	13
13	во всех	4	12
14	передачи и	2	10
15	вовсе не	4	10
16	не в	3	9
17	прежде всего	9	8
18	оно не	2	8
19	таким образом	21	8
20	точки зрения	2	8
21	с его	2	7
22	еще не	3	7
23	как бы	3	7
24	в этих	13	7
25	как мы	6	7
26	могут быть	16	7
27	и к	4	6
28	этом случае	8	6
29	все же	7	6
30	как и	3	6
31	но не	4	6
32	в большинстве	3	6
33	она не	2	6
34	в сущности	3	6
35	там где	5	6
36	все эти	2	6
37	но в	2	6
38	не могут	4	5
39	с другой	8	5
40	это не	6	5
41	и для	2	5
42	для нас	2	5
43	том что	4	5
44	но все	3	5
45	только в	2	5
46	в том	6	5
47	например в	2	5
48	и их	2	5
49	один из	5	5
50	уже не	2	5
51	большинстве случаев	3	5
52	не менее	5	4
53	и др	10	4
54	себя и	2	4
55	эти формы	2	4
56	отношению к	4	4
57	одна из	4	4
58	по отношению	4	4
59	входит в	2	4
60	то же	7	4
61	и иных	2	4
62	а в	7	4
63	формы передачи	3	4
64	в то	3	4
65	его в	2	4
66	здесь не	2	4
67	так как	16	4
68	если она	2	3
69	перед нами	10	3
70	что в	8	3
71	хотя бы	4	3
72	в собственном	3	3
73	не с	2	3
74	что и	7	3
75	но это	6	3
76	связи с	10	3
77	на этом	3	3
78	и как	5	3
79	к нему	3	3
80	в некоторых	3	3
81	быть и	2	3
82	собственном смысле	3	3
83	героя в	4	3
84	а также	4	3
85	с точки	2	3
86	сказать что	2	3
87	между тем	5	3
88	говорить о	3	3
89	ту же	2	3
90	как это	3	3
91	во всяком	2	3
92	действующих лиц	11	2
93	и затем	4	2
94	независимо от	3	2
95	ни к	2	2
96	и другие	6	2
97	хотя и	3	2
98	однако в	2	2
99	в нашем	3	2
100	его и	2	2
101	на котором	3	2
102	того как	2	2
103	не всегда	9	2
104	как например	2	2
105	как уже	2	2
106	к различным	2	2
107	и здесь	5	2
108	что он	4	2
109	без всякого	2	2
110	более или	2	2
111	мы увидим	8	2
112	этих случаях	11	2
113	или на	3	2
114	но оно	2	2
115	всяком случае	2	2
116	не все	6	2
117	но мы	3	2
118	на его	4	2
119	и другим	3	2
120	то что	8	2
121	на него	3	2
122	в различных	2	2
123	входить в	2	2
124	или менее	2	2
125	в форме	6	2
126	в связи	9	2
127	с этим	11	2
128	т д	39	2
129	в виде	2	2
130	это и	2	2
131	мы не	8	2
132	того чтобы	3	2
133	для того	2	2
134	или в	4	2
135	также и	4	2
136	в результате	7	2
137	за ней	2	2
138	он не	3	2
139	далеко не	5	2
140	но как	2	2
141	в другом	2	2
142	и вне	3	2
143	о формах	2	2
144	о том	2	2
145	оно может	3	2
