N	2gram	Savitsky_P_1	StatiiOP
1	и в	14	29
2	том что	4	27
3	в том	9	27
4	в этом	10	21
5	но и	6	19
6	что в	4	19
7	не только	17	19
8	в его	2	13
9	между прочим	2	12
10	то что	4	11
11	все это	2	11
12	т е	3	10
13	в своем	4	9
14	и т	3	9
15	и не	12	9
16	как на	2	9
17	потому что	3	9
18	и пр	5	8
19	как раз	2	8
20	но в	9	8
21	с тем	3	7
22	в ней	6	7
23	в котором	4	7
24	для того	3	7
25	не столько	2	7
26	прежде всего	3	5
27	в качестве	9	5
28	было бы	6	5
29	как бы	4	5
30	а не	2	5
31	того что	2	5
32	между тем	3	5
33	точки зрения	3	5
34	в русской	4	5
35	именно в	2	4
36	в частности	2	4
37	с другой	5	4
38	не в	5	4
39	и к	4	4
40	и о	5	4
41	хотя и	3	4
42	в нем	3	4
43	еще более	2	4
44	и с	2	4
45	но также	4	4
46	в общем	2	3
47	не менее	2	3
48	с этим	2	3
49	по себе	4	3
50	в начале	2	3
51	но не	3	3
52	например в	2	3
53	из них	2	3
54	не было	2	3
55	хотя бы	8	3
56	сомнения что	2	3
57	отношении к	5	3
58	в россии	3	3
59	xix века	6	3
60	в эту	2	3
61	в отношении	10	2
62	если бы	4	2
63	в сочетании	2	2
64	в них	2	2
65	х и	2	2
66	бы ни	2	2
67	в ее	2	2
68	и как	3	2
69	в то	7	2
70	может быть	5	2
71	в статье	2	2
72	никак не	2	2
73	и потому	4	2
74	а также	4	2
75	сами по	3	2
76	только в	7	2
77	не к	2	2
78	со стороны	2	2
79	в полной	2	2
80	не может	4	2
81	то же	9	2
82	в значительной	2	2
83	с точки	3	2
84	в себе	3	2
85	сравнении с	3	2
86	в которую	2	2
87	и это	2	2
88	в области	11	2
