N	2gram	Medvedev_U_1	Myshleni
1	в том	2	42
2	том что	2	35
3	таким образом	2	25
4	в этом	7	24
5	и в	14	20
6	то же	5	16
7	то что	7	15
8	не только	10	15
9	с другой	4	12
10	в их	4	12
11	может быть	6	12
12	в его	2	11
13	и то	3	10
14	в себе	2	10
15	только в	2	10
16	но и	4	9
17	другой стороны	3	9
18	между тем	2	9
19	могли бы	2	9
20	как и	3	9
21	что и	2	9
22	и не	8	8
23	этом смысле	2	8
24	было бы	3	8
25	смысле этого	2	7
26	этом отношении	2	7
27	что мы	2	7
28	же самое	2	7
29	в своей	3	7
30	самом деле	2	7
31	а не	10	7
32	тем что	2	7
33	могут быть	2	7
34	в самом	2	6
35	не может	7	6
36	что он	2	6
37	на каждом	2	6
38	каждом шагу	2	6
39	в частности	3	5
40	это не	3	5
41	что такое	4	5
42	если бы	2	5
43	все же	3	5
44	представляется нам	2	4
45	и только	5	4
46	и с	2	4
47	на первый	2	4
48	не в	2	4
49	и для	2	4
50	в области	3	4
51	не могут	2	3
52	формы и	2	3
53	что все	2	3
54	в этой	4	3
55	и является	2	3
56	но в	3	3
57	по существу	2	3
58	но не	2	3
59	только к	3	3
60	нас в	2	3
61	является в	2	3
62	должна быть	2	2
63	по нашему	3	2
64	прежде всего	8	2
65	мы и	2	2
66	для него	3	2
67	и у	2	2
68	одним из	2	2
69	нашему мнению	3	2
70	этой области	3	2
71	установку на	2	2
72	не есть	2	2
73	если не	2	2
74	и т.д	3	2
75	вопроса о	2	2
76	же не	2	2
