N	2gram	Tiupa_Lite_2	Tvorches
1	и в	19	20
2	в году	5	16
3	не только	8	13
4	и т	2	13
5	никогда не	3	11
6	как бы	2	11
7	в его	4	10
8	в то	9	10
9	и его	3	9
10	и не	11	9
11	прежде всего	4	8
12	в том	10	8
13	при этом	6	8
14	но и	10	8
15	может быть	17	8
16	в этом	9	8
17	и с	3	8
18	же время	9	7
19	что в	4	7
20	не может	9	7
21	то же	12	7
22	потому что	2	7
23	у него	2	6
24	в конце	2	6
25	что он	3	6
26	как и	10	6
27	в целом	2	6
28	так и	7	6
29	а не	20	6
30	в мире	9	5
31	но это	3	5
32	еще не	2	5
33	но не	5	5
34	и сам	2	5
35	все же	2	5
36	и даже	8	5
37	и на	6	5
38	в этой	3	5
39	о том	2	5
40	то есть	5	5
41	мы не	4	4
42	том что	7	4
43	соответствии с	2	4
44	отнюдь не	4	4
45	тем самым	3	4
46	героя в	2	4
47	в принципе	5	4
48	не в	4	4
49	а в	3	4
50	ничего не	3	4
51	но в	2	4
52	же как	2	3
53	жизни в	4	3
54	с этой	2	3
55	с ним	2	3
56	а затем	2	3
57	отношению к	3	3
58	х годов	3	3
59	быть может	3	3
60	одна из	5	3
61	для него	4	3
62	что не	2	3
63	одной из	2	3
64	своего рода	13	3
65	он не	5	3
66	и др	3	3
67	не является	2	3
68	один из	4	3
69	в нем	3	3
70	то что	7	3
71	но уже	2	3
72	вместе с	5	3
73	в их	3	3
74	по отношению	4	3
75	тогда как	9	3
76	так как	3	3
77	человека в	4	3
78	уже не	2	3
79	одним из	3	3
80	тем что	4	3
81	в своих	2	3
82	в себе	6	3
83	в начале	3	3
84	уже в	2	2
85	не менее	6	2
86	личности в	3	2
87	восходит к	2	2
88	и без	2	2
89	с другой	8	2
90	по крайней	2	2
91	в такой	2	2
92	в одном	2	2
93	я не	5	2
94	вовсе не	2	2
95	такой же	3	2
96	наш взгляд	3	2
97	крайней мере	2	2
98	в ее	2	2
99	в искусстве	4	2
100	у нас	5	2
101	так что	4	2
102	что я	2	2
103	права на	3	2
104	на наш	3	2
105	в частности	4	2
106	к жизни	2	2
107	себя в	6	2
108	по преимуществу	2	2
109	в истории	2	2
110	так в	5	2
111	т п	2	2
112	ли не	4	2
113	это его	2	2
114	не было	2	2
115	и других	4	2
116	и что	2	2
117	и наконец	2	2
118	другой стороны	4	2
119	и он	3	2
120	не так	2	2
121	друг друга	2	2
122	не столько	3	2
123	не случайно	4	2
124	из нас	2	2
125	в основе	2	2
126	из них	2	2
127	могут быть	2	2
128	и еще	2	2
129	с другим	2	2
130	и только	2	2
131	как правило	3	2
132	в русской	4	2
133	в россии	2	2
134	едва ли	4	2
135	это прежде	2	2
136	одном из	2	2
