N	2gram	Bakhtin_sl_2	FransuaR
1	и в	39	29
2	то есть	26	21
3	таким образом	8	20
4	и не	22	16
5	и все	5	13
6	как и	6	12
7	и т.п	2	12
8	но в	6	12
9	так и	15	11
10	и на	4	11
11	в этом	16	11
12	то же	4	10
13	как мы	7	10
14	в романе	46	10
15	мы уже	2	10
16	в то	4	10
17	не только	24	10
18	вовсе не	10	9
19	но и	21	9
20	все эти	6	9
21	и с	9	9
22	его в	4	9
23	же время	4	8
24	прежде всего	8	8
25	в его	7	8
26	и его	33	8
27	как бы	7	8
28	в них	6	7
29	мы видели	2	7
30	в том	5	7
31	так как	4	7
32	в большинстве	6	6
33	здесь в	3	6
34	в сущности	6	6
35	но он	2	6
36	поэтому и	4	5
37	у него	3	5
38	все они	2	5
39	это не	5	5
40	это и	2	5
41	до конца	17	5
42	далеко не	2	5
43	в нем	19	5
44	большинстве случаев	5	5
45	во франции	2	5
46	рядом с	3	5
47	сказать что	3	5
48	перед нами	3	4
49	с его	7	4
50	в нашем	2	4
51	что он	2	4
52	но это	3	4
53	связанные с	4	4
54	еще не	7	4
55	и др	4	4
56	один из	5	4
57	то что	2	4
58	жизни и	6	4
59	конечно не	5	4
60	все это	16	4
61	с помощью	4	4
62	с другой	5	4
63	также и	2	4
64	связан с	3	4
65	в результате	2	4
66	точки зрения	8	4
67	мира и	5	4
68	в плане	5	4
69	в узком	4	3
70	всех этих	4	3
71	его так	2	3
72	в своем	6	3
73	отметить что	3	3
74	с ее	2	3
75	и здесь	2	3
76	все же	6	3
77	но как	2	3
78	том что	5	3
79	и как	3	3
80	в дальнейшем	2	3
81	более или	2	3
82	слов и	3	3
83	той же	3	3
84	и их	5	3
85	он не	2	3
86	к нему	3	3
87	здесь не	4	3
88	или менее	2	3
89	и свои	2	3
90	как к	3	3
91	одновременно и	3	3
92	при этом	7	3
93	и других	4	3
94	того чтобы	2	3
95	для того	2	3
96	и даже	7	3
97	особенно в	2	3
98	роль в	2	3
99	с ними	5	3
100	конечно и	2	3
101	в ней	3	3
102	же и	2	3
103	в себе	2	3
104	почти все	2	3
105	там где	6	3
106	в чем	3	3
107	уже в	2	2
108	связи с	3	2
109	и другие	2	2
110	в этих	7	2
111	жизни в	2	2
112	но здесь	4	2
113	но мы	2	2
114	в различных	2	2
115	и к	6	2
116	ни в	4	2
117	именно в	2	2
118	мы увидим	2	2
119	на этом	3	2
120	но не	6	2
121	на нем	2	2
122	романе не	2	2
123	в себя	2	2
124	кроме того	2	2
125	одной стороны	5	2
126	не может	20	2
127	время это	2	2
128	на его	2	2
129	может быть	37	2
130	но оно	2	2
131	хотя и	2	2
132	никогда не	7	2
133	уже не	5	2
134	а также	3	2
135	связи и	2	2
136	на них	2	2
137	с таким	2	2
138	на котором	2	2
139	и для	5	2
140	себя в	8	2
141	но она	2	2
142	его и	2	2
143	как в	13	2
144	в их	2	2
145	где они	2	2
146	узком смысле	4	2
147	в особенности	3	2
148	с одной	5	2
149	в той	4	2
150	они не	2	2
151	и наконец	5	2
152	с точки	3	2
153	не столько	3	2
154	в слове	6	2
155	или в	2	2
156	и при	2	2
157	в основе	4	2
158	даже и	4	2
159	франции в	2	2
160	еще раз	3	2
161	только в	5	2
162	мы сказали	2	2
163	о том	2	2
164	как он	2	2
165	дело в	2	2
166	так сказать	6	2
167	с ним	7	2
168	в новом	2	2
