N	3gram	Vinokur_Ku_3	Myshleni
1	с точки зрения	16	18
2	в том что	8	15
3	для того чтобы	11	15
4	с другой стороны	3	9
5	с одной стороны	4	8
6	по отношению к	2	7
7	о том что	3	6
8	не может быть	3	5
9	до сих пор	8	4
10	смысле этого слова	2	3
11	сам по себе	3	3
12	можно было бы	10	3
13	в первую очередь	3	3
14	в том чтобы	3	3
15	в данном случае	4	2
16	в зависимости от	7	2
17	так как он	2	2
18	в самом деле	11	2
19	а с другой	3	2
20	бы сказать что	3	2
21	ни в какой	2	2
22	в известном смысле	2	2
23	в какой мере	2	2
24	только тогда когда	4	2
25	от того что	2	2
