N	2gram	Voloshinov_1	VrazhdaK
1	не только	6	9
2	в этом	2	8
3	и в	13	8
4	но и	3	7
5	что в	3	7
6	то что	6	7
7	и все	3	7
8	в нем	2	6
9	все же	5	6
10	как и	3	6
11	но в	4	6
12	то же	4	5
13	и не	8	5
14	между тем	2	5
15	уже в	2	4
16	как бы	6	4
17	все это	4	4
18	так же	2	4
19	в своих	2	4
20	может быть	8	4
21	при этом	2	4
22	несмотря на	2	4
23	в ней	2	4
24	в этот	2	3
25	и уже	3	3
26	в связи	2	3
27	в том	2	3
28	и его	12	3
29	том что	2	3
30	тем что	2	3
31	в его	7	3
32	в чем	2	3
33	и т.п	7	2
34	в своей	4	2
35	не менее	2	2
36	никогда не	3	2
37	в них	2	2
38	не может	8	2
39	а в	2	2
40	таким образом	6	2
41	не мог	2	2
42	с точки	5	2
43	и то	3	2
44	точки зрения	7	2
45	и ее	2	2
46	в себе	3	2
47	для него	2	2
48	его на	2	2
49	а также	2	2
