N	2gram	Tiupa_Anal_3	Dialekti
1	не есть	4	47
2	и не	12	30
3	может быть	9	20
4	и в	18	19
5	не только	22	19
6	по себе	4	18
7	а не	9	16
8	в себе	2	15
9	то что	2	14
10	что она	2	14
11	и даже	8	14
12	в том	9	14
13	как бы	10	14
14	но и	13	12
15	то же	3	12
16	точки зрения	3	12
17	и все	2	12
18	как и	14	10
19	и как	4	10
20	в нем	2	10
21	так и	14	10
22	том что	12	10
23	это не	2	10
24	сказать что	2	10
25	никогда не	5	9
26	по крайней	4	9
27	крайней мере	4	9
28	не может	2	9
29	личности в	3	8
30	прежде всего	5	8
31	с точки	2	8
32	не в	6	8
33	в этом	14	8
34	сама по	2	7
35	есть не	2	7
36	как это	3	7
37	и к	4	7
38	совершенно не	2	7
39	что в	9	7
40	что он	4	6
41	что не	3	6
42	да и	2	6
43	что они	3	6
44	отнюдь не	4	6
45	в то	3	6
46	но не	7	6
47	личности и	2	6
48	с другой	7	5
49	же время	3	5
50	по своему	2	5
51	можно сказать	4	5
52	в самом	5	5
53	и потому	2	5
54	что и	5	5
55	как раз	7	5
56	и его	13	5
57	жизнь и	3	5
58	но как	3	5
59	говорить о	3	5
60	только в	2	5
61	о том	6	5
62	уже в	3	4
63	в своем	4	4
64	в одном	4	4
65	в ее	3	4
66	все же	4	4
67	субъекта и	2	4
68	при этом	11	4
69	еще не	6	4
70	той или	3	4
71	он не	6	4
72	все это	3	4
73	другой стороны	5	4
74	таким образом	4	4
75	и вот	2	4
76	самом деле	2	4
77	и по	2	4
78	а в	10	4
79	могут быть	2	4
80	по своей	2	4
81	не менее	4	3
82	о чем	4	3
83	и от	2	3
84	с нею	2	3
85	об этом	2	3
86	уже не	5	3
87	это и	2	3
88	в этой	6	3
89	было бы	3	3
90	даже в	2	3
91	тех пор	2	3
92	с этим	3	3
93	не было	3	3
94	мы имеем	5	3
95	в той	2	3
96	или точнее	2	3
97	в данном	4	3
98	нуждается в	2	3
99	его в	3	3
100	когда мы	2	3
101	ничего не	3	3
102	в противоположность	2	2
103	только не	3	2
104	в частности	12	2
105	мере в	2	2
106	перед нами	4	2
107	у пушкина	3	2
108	в конце	5	2
109	не должно	3	2
110	именно в	3	2
111	в тех	2	2
112	к тому	6	2
113	тем не	2	2
114	же в	2	2
115	не будет	3	2
116	с тем	2	2
117	очевидно что	2	2
118	тем или	2	2
119	и прежде	2	2
120	или иным	2	2
121	в общем	2	2
122	на его	2	2
123	в сущности	5	2
124	несмотря на	2	2
125	в искусстве	2	2
126	в ней	2	2
127	всяком случае	2	2
128	только к	2	2
129	если в	3	2
130	себя в	4	2
131	в мире	5	2
132	во всех	2	2
133	дело не	3	2
134	данном случае	3	2
135	в каждом	3	2
136	в их	6	2
137	например в	2	2
138	с ее	3	2
139	с одной	2	2
140	как в	3	2
141	в становлении	2	2
142	хотя в	2	2
143	его не	3	2
144	бы и	2	2
145	в результате	5	2
146	в новую	2	2
147	обратим внимание	2	2
148	между тем	5	2
149	не как	2	2
150	тем что	2	2
151	что мы	2	2
152	во всяком	2	2
153	но всегда	2	2
154	все эти	2	2
155	что по	4	2
156	но в	2	2
157	я и	3	2
158	в жизни	2	2
159	вместе с	2	2
