N	2gram	Losev_Prob_5	Analitik
1	в этом	17	18
2	в частности	4	16
3	и в	30	16
4	не только	18	16
5	так и	7	15
6	как и	7	14
7	в том	12	12
8	но и	13	12
9	и не	12	12
10	том что	17	12
11	в качестве	4	11
12	как бы	6	10
13	при этом	4	10
14	а не	5	10
15	и даже	14	9
16	в этой	10	9
17	ничего не	2	9
18	то есть	21	9
19	в данном	2	8
20	отнюдь не	4	8
21	к тому	2	7
22	в себе	4	7
23	то что	18	7
24	о том	12	7
25	а также	3	7
26	с другой	6	6
27	в самом	5	6
28	и на	6	6
29	может быть	7	6
30	но в	9	6
31	говорит о	7	5
32	и к	4	5
33	данном случае	2	5
34	с одной	3	5
35	не менее	5	4
36	в своем	11	4
37	в конце	8	4
38	можно сказать	6	4
39	у него	11	4
40	уже не	6	4
41	не в	7	4
42	но не	7	4
43	того же	4	4
44	одной стороны	3	4
45	и является	2	4
46	и тем	3	4
47	отношению к	2	4
48	как в	2	4
49	как раз	5	4
50	по отношению	2	4
51	не может	5	4
52	и его	6	4
53	то же	2	4
54	не так	4	4
55	хотя и	8	4
56	он в	3	4
57	точки зрения	10	4
58	только в	9	4
59	борьбы с	2	3
60	никогда не	7	3
61	как о	4	3
62	по крайней	4	3
63	что касается	3	3
64	прежде всего	6	3
65	тем не	5	3
66	не мог	4	3
67	так что	11	3
68	есть в	2	3
69	по поводу	2	3
70	было бы	4	3
71	и сам	4	3
72	крайней мере	4	3
73	несмотря на	6	3
74	мы имеем	2	3
75	на его	2	3
76	и за	2	3
77	или в	4	3
78	что и	6	3
79	проявляется в	2	3
80	из них	2	3
81	в первой	2	3
82	именно в	3	3
83	можно было	2	3
84	а в	6	3
85	как мы	2	3
86	и то	5	3
87	в результате	7	3
88	тем что	2	3
89	как будто	3	3
90	едва ли	4	3
91	и все	9	3
92	в противоположность	3	2
93	того что	3	2
94	уже и	2	2
95	была бы	2	2
96	в одном	3	2
97	этом смысле	3	2
98	к этому	2	2
99	вовсе не	8	2
100	или иных	2	2
101	по себе	2	2
102	на то	2	2
103	он был	2	2
104	по существу	2	2
105	все что	2	2
106	что в	5	2
107	еще не	3	2
108	такого рода	2	2
109	в своей	22	2
110	некоторого рода	4	2
111	в роли	2	2
112	в таких	2	2
113	еще в	5	2
114	в котором	2	2
115	один из	2	2
116	и их	5	2
117	вместе с	7	2
118	на него	2	2
119	вслед за	2	2
120	ли не	2	2
121	другой стороны	6	2
122	внимание на	3	2
123	вообще и	2	2
124	борьбе с	2	2
125	таким образом	13	2
126	здесь в	2	2
127	еще более	3	2
128	однако как	2	2
129	тех или	2	2
130	в значительной	2	2
131	свидетельствует о	2	2
132	и он	4	2
133	и для	6	2
134	с точки	8	2
135	так же	5	2
136	в таком	2	2
137	и до	2	2
138	результате чего	2	2
139	никак не	8	2
140	между тем	2	2
141	он не	3	2
142	он и	5	2
143	о себе	2	2
144	в то	4	2
145	в его	12	2
146	его в	6	2
147	таком случае	2	2
148	сказать что	9	2
149	с ним	3	2
150	же не	4	2
