N	2gram	Propp_Isto_6	Psycholo
1	и в	26	38
2	то что	6	35
3	все время	2	30
4	в том	12	25
5	что в	12	20
6	может быть	11	19
7	и что	5	18
8	на то	2	16
9	что она	3	16
10	в ней	5	15
11	если бы	3	14
12	том что	10	14
13	как бы	4	14
14	и т	10	14
15	потому что	13	14
16	в этой	2	13
17	совершенно ясно	4	13
18	в этом	12	13
19	мы видим	5	12
20	было бы	2	12
21	не только	10	12
22	таким образом	12	12
23	не в	3	12
24	что он	9	11
25	что это	2	10
26	то же	5	10
27	и не	10	10
28	увидим что	2	9
29	все же	8	8
30	с тем	4	8
31	перед нами	2	8
32	с этим	2	8
33	в одном	3	8
34	вовсе не	2	8
35	для нас	2	8
36	как и	5	8
37	так что	3	8
38	и как	2	8
39	из этого	3	8
40	и то	3	8
41	и это	8	8
42	с другой	10	7
43	а не	2	7
44	мы можем	7	7
45	не может	6	7
46	что у	2	7
47	как мы	4	7
48	а в	3	7
49	мы уже	6	7
50	к тому	2	6
51	мы видели	11	6
52	до сих	4	6
53	она не	3	6
54	один из	3	6
55	не имеет	2	6
56	он не	2	6
57	с одной	7	6
58	так как	18	6
59	как это	5	6
60	и его	7	6
61	и на	12	6
62	в которых	2	6
63	о том	7	6
64	там где	5	6
65	должна быть	3	5
66	в своем	2	5
67	одной стороны	7	5
68	в своей	3	5
69	вместе с	8	5
70	но и	9	5
71	сих пор	4	5
72	другой стороны	8	5
73	или в	3	5
74	мы не	6	5
75	о котором	2	5
76	в его	5	5
77	никогда не	13	4
78	если он	3	4
79	в тех	3	4
80	из него	2	4
81	что они	2	4
82	при этом	3	4
83	когда он	3	4
84	в нем	8	4
85	что и	4	4
86	ее в	6	4
87	как в	6	4
88	т д	8	4
89	все эти	8	4
90	при помощи	3	4
91	здесь мы	4	4
92	того что	2	4
93	когда в	2	4
94	из которых	3	4
95	время как	3	4
96	что этот	2	4
97	в своих	3	4
98	сказать что	3	4
99	у него	7	4
100	только в	5	4
101	и другое	2	4
102	здесь совершенно	2	4
103	что эти	2	4
104	как будто	3	4
105	одна из	2	4
106	в себе	3	4
107	как только	3	3
108	ее не	3	3
109	как на	3	3
110	в них	3	3
111	та же	3	3
112	из этих	4	3
113	главным образом	3	3
114	к этому	3	3
115	она в	2	3
116	ни в	2	3
117	он был	2	3
118	и конечно	2	3
119	но это	4	3
120	эти два	2	3
121	интересно что	2	3
122	без всяких	2	3
123	к концу	3	3
124	больше и	3	3
125	того же	2	3
126	наряду с	3	3
127	то и	2	3
128	и только	3	3
129	что не	2	3
130	не так	2	3
131	и тем	4	3
132	где он	2	3
133	того как	3	3
134	тем что	5	3
135	далеко не	3	3
136	в то	5	3
137	его в	5	3
138	здесь не	2	3
139	но в	7	3
140	в данном	3	2
141	видели что	3	2
142	к своему	3	2
143	и другие	3	2
144	в этих	2	2
145	так например	3	2
146	с этой	2	2
147	этот случай	6	2
148	во всяком	2	2
149	показывает что	3	2
150	что оно	4	2
151	утверждать что	2	2
152	и ее	3	2
153	очень часто	5	2
154	уже давно	2	2
155	только что	2	2
156	и эти	5	2
157	уже не	7	2
158	у нас	5	2
159	такой же	3	2
160	у них	4	2
161	что здесь	3	2
162	только то	2	2
163	то время	3	2
164	том как	3	2
165	совершенно ясна	3	2
166	они не	3	2
167	образом и	2	2
168	например в	7	2
169	но он	2	2
170	большей частью	2	2
171	всяком случае	2	2
172	но мы	2	2
173	то это	5	2
174	что когда	2	2
175	данном случае	3	2
176	со стороны	3	2
177	что же	2	2
178	целый ряд	2	2
179	так же	2	2
180	в одной	2	2
181	все больше	2	2
182	в виде	6	2
183	а с	2	2
184	должны были	2	2
185	и вот	3	2
186	мы рассмотрим	3	2
187	и больше	2	2
188	и наконец	3	2
189	и по	4	2
190	мы найдем	2	2
191	в качестве	3	2
192	их в	3	2
193	говорит он	2	2
194	к себе	2	2
195	представляет собой	2	2
196	но как	4	2
197	в русской	6	2
198	когда мы	2	2
199	с ним	8	2
200	ничего не	2	2
201	в эту	2	2
202	и действительно	3	2
