N	2gram	Ircho_Kome_3	FransuaR
1	и в	22	65
2	как бы	3	22
3	и не	21	22
4	вовсе не	4	18
5	в сущности	2	16
6	в том	12	16
7	в этом	8	15
8	но в	5	14
9	в нем	3	13
10	нового времени	2	13
11	прежде всего	5	11
12	и на	2	11
13	и его	6	10
14	не только	5	10
15	но и	4	10
16	так и	4	10
17	в эпоху	2	9
18	в его	8	9
19	во всех	2	9
20	все это	5	9
21	по своему	3	8
22	в своем	8	8
23	в основе	2	8
24	и даже	3	8
25	за пределы	2	8
26	его в	8	7
27	в области	2	7
28	точки зрения	4	7
29	никогда не	3	6
30	не знает	3	6
31	том что	13	6
32	все же	4	6
33	как мы	2	6
34	еще не	6	6
35	при этом	7	6
36	может быть	6	6
37	в ней	4	6
38	в отношении	4	6
39	так как	11	6
40	с его	3	5
41	в одном	2	5
42	в частности	3	5
43	в них	3	5
44	потому что	10	5
45	отличие от	2	5
46	в своей	5	5
47	как в	2	5
48	как и	3	5
49	в своих	2	5
50	между тем	2	5
51	и все	2	5
52	связи с	5	4
53	это в	2	4
54	и к	3	4
55	не в	4	4
56	в этой	3	4
57	отношение к	5	4
58	совершенно не	2	4
59	в самом	9	4
60	из них	5	4
61	сих пор	9	4
62	до сих	9	4
63	в их	2	4
64	между ними	2	4
65	здесь и	2	4
66	во время	6	4
67	и еще	3	4
68	не могут	2	3
69	что в	5	3
70	не является	4	3
71	она была	2	3
72	это не	2	3
73	и во	2	3
74	что он	8	3
75	в ее	3	3
76	но все	4	3
77	самом деле	6	3
78	к нему	5	3
79	с точки	3	3
80	то что	4	3
81	до нас	4	3
82	как раз	6	3
83	не может	3	3
84	в известной	2	3
85	этом отношении	2	3
86	с другой	4	3
87	друг друга	4	3
88	в других	3	3
89	он и	2	3
90	в себе	4	3
91	далеко не	3	3
92	нет ничего	2	3
93	и здесь	4	3
94	с ним	5	3
95	ничего не	3	3
96	и с	4	3
97	в виду	2	3
98	он понимает	2	2
99	к тому	6	2
100	и без	2	2
101	но при	2	2
102	его от	2	2
103	он был	4	2
104	а затем	2	2
105	из всех	2	2
106	до конца	4	2
107	одной стороны	3	2
108	и он	2	2
109	несмотря на	4	2
110	на его	2	2
111	наряду с	2	2
112	при всей	2	2
113	от того	2	2
114	он называет	2	2
115	хотя и	5	2
116	он не	5	2
117	его на	2	2
118	в свое	2	2
119	нет и	4	2
120	и особенно	2	2
121	и для	4	2
122	в целом	3	2
123	на него	4	2
124	приводит к	3	2
125	в изображении	2	2
126	отношения к	2	2
127	с одной	3	2
128	на них	3	2
129	и этим	3	2
130	что не	3	2
131	что мы	2	2
132	на этот	3	2
133	одним из	2	2
134	роль в	2	2
135	в таком	2	2
136	к себе	5	2
137	их в	3	2
138	он так	3	2
139	о том	8	2
140	и это	2	2
141	дошедших до	2	2
