N	2gram	Vygotskiy__6	Psycholo
1	в том	28	37
2	и в	28	32
3	и что	6	22
4	том что	19	21
5	то что	28	21
6	таким образом	18	21
7	потому что	22	21
8	что в	17	20
9	так же	15	18
10	может быть	13	18
11	что и	4	17
12	не может	19	17
13	точки зрения	13	17
14	самом деле	2	16
15	того чтобы	10	14
16	что он	18	13
17	при этом	3	13
18	то же	7	13
19	для того	8	13
20	в этом	27	13
21	по себе	3	12
22	если мы	2	12
23	в самом	8	12
24	не только	16	12
25	заключается в	7	12
26	так как	10	12
27	на то	4	11
28	с тем	5	11
29	было бы	9	11
30	в основе	3	11
31	как и	6	10
32	же точно	3	10
33	когда он	2	10
34	но и	10	10
35	и не	11	10
36	с точки	10	10
37	никогда не	8	9
38	что все	5	9
39	что при	4	9
40	как в	3	9
41	в своих	3	9
42	тем что	8	9
43	не менее	2	8
44	не в	4	8
45	дело с	2	8
46	той же	4	8
47	того что	24	8
48	к тому	10	7
49	ясно что	4	7
50	мы знаем	4	7
51	и как	6	7
52	а не	3	7
53	в сущности	7	7
54	все эти	2	7
55	можно было	7	7
56	и его	3	7
57	сказать что	13	7
58	в психологии	3	7
59	только в	18	7
60	что они	2	7
61	все время	3	6
62	в этой	5	6
63	он не	7	6
64	как бы	11	6
65	целый ряд	4	6
66	те же	3	6
67	же самое	6	6
68	что если	2	6
69	если бы	7	6
70	что у	2	5
71	до сих	3	5
72	исходит из	2	5
73	сих пор	3	5
74	все это	2	5
75	как раз	6	5
76	показать что	5	5
77	этом отношении	3	5
78	только на	2	5
79	как на	3	5
80	и на	5	5
81	в то	6	5
82	и более	2	4
83	же как	6	4
84	из которого	2	4
85	от того	10	4
86	с этой	2	4
87	что на	4	4
88	как это	3	4
89	в чем	6	4
90	несмотря на	2	4
91	иначе говоря	3	4
92	и той	3	4
93	из этого	2	4
94	и по	3	4
95	и тем	5	4
96	в нем	7	4
97	все же	2	4
98	из них	2	4
99	но только	2	4
100	а в	2	4
101	и все	5	4
102	сущности говоря	4	4
103	мы имеем	4	4
104	одной и	3	4
105	к одному	2	4
106	мы видим	7	4
107	не имеет	6	4
108	в данном	2	4
109	тому что	11	4
110	знаем что	4	4
111	могут быть	5	4
112	с этим	4	4
113	в целом	3	4
114	ту же	3	4
115	которые в	4	4
116	в сознании	4	4
117	того как	5	4
118	по своему	2	3
119	не могут	5	3
120	каким образом	2	3
121	состоит в	2	3
122	в частности	4	3
123	для этого	2	3
124	но он	2	3
125	с другой	2	3
126	само собой	2	3
127	в конце	2	3
128	представить себе	3	3
129	показывает что	7	3
130	и к	6	3
131	а только	2	3
132	по существу	2	3
133	так что	6	3
134	что именно	2	3
135	но как	3	3
136	до конца	3	3
137	что с	3	3
138	в нашей	3	3
139	например в	4	3
140	в своей	2	3
141	относится к	4	3
142	но совершенно	2	3
143	а другой	5	3
144	не могли	5	3
145	один из	3	3
146	так и	6	3
147	во всех	4	3
148	были бы	2	3
149	в их	3	3
150	в отношении	10	3
151	на этом	4	3
152	которых мы	2	3
153	и других	7	3
154	образом в	3	3
155	этот вопрос	3	3
156	время как	5	3
157	приходит к	2	3
158	то время	6	3
159	в исследовании	4	3
160	в которых	2	3
161	по самому	2	3
162	и то	4	3
163	мы должны	3	3
164	отношении к	3	3
165	и отношений	6	3
166	оказывается совершенно	2	3
167	тогда когда	6	3
168	но в	5	3
169	мы не	6	3
170	мы можем	9	3
171	как только	2	2
172	на вопрос	2	2
173	зависит от	3	2
174	с его	3	2
175	показали что	4	2
176	оба эти	3	2
177	казалось бы	2	2
178	все более	2	2
179	показал что	4	2
180	в них	3	2
181	сравнению с	14	2
182	но когда	2	2
183	это не	5	2
184	и от	2	2
185	одного и	4	2
186	он с	2	2
187	с другими	2	2
188	в одном	2	2
189	в каждом	3	2
190	именно потому	2	2
191	это в	2	2
192	была бы	2	2
193	этого факта	2	2
194	это означает	3	2
195	переходе от	5	2
196	к которой	2	2
197	интерес к	2	2
198	и здесь	3	2
199	тем и	3	2
200	в новой	2	2
201	что чем	2	2
202	мысль что	2	2
203	всякий раз	3	2
204	еще не	8	2
205	но не	10	2
206	же самую	2	2
207	самое понятие	2	2
208	очевидно что	3	2
209	того же	7	2
210	была в	2	2
211	по сравнению	15	2
212	но что	4	2
213	она не	2	2
214	возможны только	4	2
215	действия и	3	2
216	на его	3	2
217	должен был	3	2
218	во внимание	2	2
219	том же	5	2
220	и следовательно	4	2
221	в его	3	2
222	что всякое	2	2
223	оно не	4	2
224	том как	2	2
225	в состоянии	4	2
226	в этих	2	2
227	отношение к	7	2
228	для нас	2	2
229	на том	2	2
230	в процессе	9	2
231	вместе с	7	2
232	отличается от	3	2
233	себе и	2	2
234	не на	2	2
235	в прежней	2	2
236	другой стороны	2	2
237	что оно	7	2
238	форм и	2	2
239	из того	5	2
240	этой области	2	2
241	что ребенок	13	2
242	и другое	2	2
243	на этот	4	2
244	в других	2	2
245	у них	2	2
246	но это	2	2
247	частный случай	5	2
248	моментов в	2	2
249	в себе	4	2
250	и вообще	2	2
251	и только	3	2
252	в уме	2	2
253	могли бы	9	2
254	с того	3	2
255	же самые	4	2
256	в свете	5	2
257	на примере	3	2
258	там где	7	2
259	когда мы	6	2
260	в которой	7	2
261	почему это	2	2
262	к которому	2	2
