N	2gram	Bakhtin_Fr_1	Formalny
1	и в	65	24
2	в его	9	23
3	прежде всего	11	22
4	и не	22	20
5	так и	10	18
6	и пр	5	17
7	не может	3	16
8	точки зрения	7	16
9	в этом	15	15
10	в нем	13	14
11	может быть	6	14
12	с точки	3	13
13	в своем	8	11
14	как и	5	11
15	в своей	5	11
16	в их	4	11
17	вовсе не	18	10
18	и их	3	10
19	в ней	6	10
20	и его	10	10
21	и потому	10	9
22	в процессе	2	9
23	все это	9	9
24	в ее	3	8
25	литературы в	2	8
26	то что	3	8
27	как в	5	8
28	и на	11	8
29	не в	4	8
30	и с	3	8
31	и от	2	7
32	до конца	2	7
33	не только	10	7
34	жизни и	7	7
35	но и	10	7
36	на самом	6	7
37	и все	5	6
38	и здесь	3	6
39	в том	16	6
40	в этой	4	6
41	самом деле	3	6
42	до сих	4	6
43	еще не	6	6
44	как бы	22	6
45	сих пор	4	6
46	в целом	2	6
47	входит в	4	6
48	отношения к	2	6
49	все эти	10	6
50	форм и	9	6
51	формы и	7	5
52	бы ни	2	5
53	в литературе	6	5
54	в искусстве	3	5
55	при этом	6	5
56	только на	2	5
57	и др	24	5
58	во всех	9	5
59	в самом	4	5
60	и до	4	5
61	как мы	6	5
62	искусства и	6	5
63	того что	2	5
64	с другой	3	5
65	но в	14	5
66	с его	5	4
67	главным образом	6	4
68	в частности	5	4
69	никогда не	6	4
70	и к	4	4
71	одной стороны	2	4
72	при таком	2	4
73	что в	3	4
74	с одной	2	4
75	друг друга	3	4
76	но не	2	3
77	в отношении	6	3
78	всех этих	8	3
79	связи с	4	3
80	перестает быть	3	3
81	в них	5	3
82	в жизни	4	3
83	на все	2	3
84	что он	3	3
85	к тому	2	3
86	для него	5	3
87	но это	3	3
88	в большинстве	2	3
89	так например	2	3
90	ни на	2	3
91	в общем	4	3
92	но для	3	3
93	он не	2	3
94	в основном	2	3
95	все же	6	3
96	же в	2	3
97	отношение к	4	3
98	время в	2	3
99	значение и	2	3
100	на фоне	3	3
101	влияние на	7	3
102	в особенности	2	3
103	особенно в	2	3
104	и других	3	3
105	не для	2	3
106	культуры и	8	3
107	и наконец	2	3
108	и даже	8	3
109	между ними	4	3
110	его в	7	3
111	от всех	3	3
112	более того	2	3
113	нашей работы	6	3
114	в основе	8	3
115	в себе	3	3
116	так сказать	4	3
117	в области	7	3
118	определяющее влияние	2	2
119	жизни в	5	2
120	в германии	2	2
121	это не	3	2
122	и особенно	2	2
123	в применении	3	2
124	в одном	5	2
125	в системе	3	2
126	в году	6	2
127	на всю	4	2
128	здесь в	8	2
129	но эта	2	2
130	в самой	3	2
131	уже не	3	2
132	но все	3	2
133	литературы и	5	2
134	образом на	2	2
135	в ряду	3	2
136	и чисто	2	2
137	эта же	2	2
138	только в	7	2
139	своей книге	2	2
140	вполне понятно	2	2
141	от того	2	2
142	в новое	3	2
143	как раз	3	2
144	литературного развития	2	2
145	за пределы	8	2
146	нет и	2	2
147	на него	2	2
148	во всей	3	2
149	она была	3	2
150	и вот	2	2
151	применении к	3	2
152	приводит к	2	2
153	литературе и	2	2
154	раз и	2	2
155	менее всего	3	2
156	между тем	5	2
157	и самый	2	2
158	даже и	3	2
159	в своих	5	2
160	на его	2	2
161	они были	6	2
162	ничего не	3	2
163	жизни но	2	2
164	и это	2	2
165	бы быть	2	2
166	во всем	2	2
167	большинстве случаев	2	2
168	с ним	3	2
169	мира в	3	2
