N	2gram	Tiupa_Hudo_1	formyVre
1	и в	19	50
2	то есть	18	33
3	в романе	3	32
4	в этом	11	25
5	в нем	5	24
6	частной жизни	2	23
7	и его	12	16
8	прежде всего	4	15
9	и не	15	14
10	вовсе не	2	13
11	как раз	3	13
12	в его	9	13
13	так и	11	12
14	может быть	14	11
15	таким образом	3	11
16	то же	10	11
17	и как	3	10
18	времени и	2	10
19	но в	7	10
20	в том	18	9
21	же время	5	9
22	и др	2	9
23	все эти	2	9
24	в то	6	9
25	не только	16	9
26	с его	6	9
27	в самом	5	8
28	но и	10	8
29	и на	2	8
30	жизни в	2	8
31	как и	2	8
32	того же	2	8
33	ни в	5	8
34	для себя	2	7
35	времени в	2	7
36	героя и	5	7
37	в частности	13	6
38	это не	2	6
39	например в	3	6
40	с ее	5	6
41	в их	5	6
42	не может	7	6
43	лишь в	4	6
44	так же	2	6
45	в жизни	2	6
46	и того	2	6
47	во всех	3	6
48	то что	4	6
49	в ее	5	6
50	как в	2	6
51	человеческой жизни	2	6
52	между двумя	2	6
53	что в	6	5
54	и другие	2	5
55	одного и	2	5
56	не в	7	5
57	с самим	2	5
58	в пределах	3	5
59	хронотоп в	2	5
60	в основе	4	5
61	точки зрения	10	5
62	если бы	3	5
63	отнюдь не	2	5
64	в пространстве	2	5
65	но не	11	5
66	еще не	3	5
67	он не	4	5
68	не могло	2	5
69	отношению к	9	5
70	того чтобы	2	5
71	для того	2	5
72	могут быть	4	5
73	жизни но	2	5
74	том числе	2	4
75	в своем	2	4
76	было и	2	4
77	своей жизни	2	4
78	могло быть	2	4
79	все это	2	4
80	потому что	3	4
81	между собой	2	4
82	в них	2	4
83	и т.п	4	4
84	в той	3	4
85	том что	8	4
86	и для	2	4
87	и то	4	4
88	только в	5	4
89	и это	2	4
90	здесь не	2	4
91	себя и	2	3
92	в этих	3	3
93	в отношении	3	3
94	к тому	4	3
95	при этом	13	3
96	имеет место	2	3
97	хотя и	3	3
98	в виду	5	3
99	мира в	2	3
100	один из	2	3
101	в форме	4	3
102	по отношению	9	3
103	отношения к	2	3
104	с одной	2	3
105	именно в	2	3
106	в одно	2	3
107	а в	12	3
108	их в	3	3
109	сказать что	4	3
110	одно из	2	3
111	самим собою	2	3
112	его в	2	3
113	в одном	2	3
114	в порядке	2	3
115	ни к	2	3
116	не знает	3	3
117	в качестве	24	3
118	одно и	3	3
119	со своей	3	3
120	одной из	2	3
121	по преимуществу	2	3
122	и потому	2	3
123	что и	2	3
124	во всей	3	3
125	во времени	4	3
126	а не	9	3
127	между ними	4	3
128	или в	2	3
129	с другими	4	3
130	совершенно иной	2	3
131	и ее	3	3
132	в себе	9	3
133	входит в	4	3
134	место в	4	2
135	никогда не	2	2
136	в нашем	2	2
137	этом мире	2	2
138	с другой	7	2
139	никто не	2	2
140	не обязательно	2	2
141	была бы	3	2
142	или иной	7	2
143	а только	4	2
144	с их	2	2
145	есть в	2	2
146	в глаза	2	2
147	в свою	3	2
148	для него	4	2
149	одной стороны	2	2
150	к жизни	2	2
151	в целом	3	2
152	отношение к	5	2
153	жизни то	2	2
154	в самой	2	2
155	на основе	2	2
156	во втором	4	2
157	того что	4	2
158	и по	2	2
159	не входит	2	2
160	самим собой	4	2
161	личности и	3	2
162	но он	3	2
163	той или	4	2
164	с ним	2	2
165	мире и	2	2
166	не является	4	2
167	он должен	3	2
168	не как	2	2
169	по себе	2	2
170	и к	3	2
171	об этом	2	2
172	в чем	2	2
173	одна из	2	2
174	а также	5	2
175	на почве	3	2
176	но она	2	2
177	принадлежит к	3	2
178	в своей	5	2
179	как бы	9	2
180	быть и	2	2
181	ее в	2	2
182	в отличие	7	2
183	если мы	2	2
184	уже не	4	2
185	с точки	3	2
186	в которой	2	2
187	в данном	4	2
188	автора и	3	2
189	всей его	2	2
190	в каком	2	2
191	далеко не	2	2
192	слова и	2	2
193	отличие от	7	2
