N	2gram	Medvedev_U_1	Narrotol
1	не только	10	26
2	а не	10	17
3	но и	4	15
4	в том	2	14
5	и не	8	14
6	том что	2	13
7	и в	14	13
8	в этом	7	13
9	в частности	3	11
10	только в	2	11
11	может быть	6	10
12	сводится к	2	9
13	то что	7	8
14	в себе	2	8
15	не может	7	8
16	не в	2	8
17	прежде всего	8	6
18	в его	2	6
19	все же	3	6
20	ничего не	2	6
21	но в	3	6
22	не столько	2	5
23	что он	2	5
24	таким образом	2	5
25	с другой	4	5
26	в то	3	5
27	если бы	2	4
28	в конце	2	4
29	как и	3	4
30	для него	3	4
31	в своей	3	4
32	то же	5	4
33	и у	2	4
34	в этой	4	4
35	и т.д	3	4
36	а как	2	3
37	с его	2	3
38	конечном счете	4	3
39	это не	3	3
40	в итоге	2	3
41	но не	2	3
42	же время	3	3
43	как раз	2	3
44	в конечном	4	3
45	только к	3	3
46	самом деле	2	3
47	и для	2	3
48	этом отношении	2	3
49	не следует	3	3
50	между тем	2	3
51	о чем	2	2
52	превращается в	2	2
53	хотя бы	5	2
54	должна быть	2	2
55	было бы	3	2
56	в самом	2	2
57	что она	2	2
58	не все	2	2
59	что и	2	2
60	если не	2	2
61	у нас	3	2
62	более чем	2	2
63	мы не	2	2
64	но это	2	2
65	не случайно	2	2
66	могли бы	2	2
67	в области	3	2
