N	2gram	Berdyaev_V_1	formyVre
1	и в	16	50
2	в этом	4	25
3	в нем	4	24
4	прежде всего	2	15
5	и не	20	14
6	в его	4	13
7	так и	4	12
8	человека и	6	11
9	но в	3	10
10	в конце	3	9
11	в том	3	9
12	все эти	3	9
13	не только	2	9
14	с его	3	9
15	и т	2	8
16	но и	5	8
17	как и	4	8
18	жизни и	3	8
19	ни в	3	8
20	не было	3	7
21	и во	2	7
22	это не	2	6
23	лишь в	3	6
24	так как	9	6
25	и все	4	6
26	в жизни	3	6
27	во всех	3	6
28	то что	9	6
29	что в	3	5
30	в образе	4	5
31	не в	3	5
32	но не	2	5
33	еще не	8	5
34	того чтобы	2	5
35	могут быть	2	5
36	мы и	2	4
37	этого мира	3	4
38	в котором	4	4
39	все это	5	4
40	не имеет	3	4
41	потому что	4	4
42	в ней	4	4
43	нет ничего	3	4
44	в них	3	4
45	конечно не	2	4
46	том что	2	4
47	и для	3	4
48	и то	2	4
49	только в	2	4
50	и это	2	4
51	не могут	2	3
52	в этих	3	3
53	к тому	3	3
54	да и	2	3
55	с тем	2	3
56	хотя и	5	3
57	мира в	2	3
58	один из	2	3
59	в форме	2	3
60	а в	2	3
61	их в	3	3
62	для них	2	3
63	что было	2	3
64	дороги и	2	3
65	и потому	7	3
66	что и	3	3
67	а не	7	3
68	что не	4	3
69	мы не	2	3
70	во всяком	2	3
71	никогда не	3	2
72	его и	2	2
73	мир и	2	2
74	что все	4	2
75	для нас	2	2
76	для него	2	2
77	не к	2	2
78	уже на	2	2
79	того что	5	2
80	личности и	3	2
81	в истории	8	2
82	что мы	4	2
83	с ним	2	2
84	и последнее	2	2
85	в чем	3	2
86	одна из	2	2
87	нет и	2	2
88	оно не	3	2
89	нем нет	2	2
90	в своей	3	2
91	как бы	5	2
92	ее в	2	2
93	уже не	2	2
94	хотя бы	3	2
95	в человека	2	2
96	от этого	3	2
97	тем что	2	2
98	на себя	5	2
99	вера в	2	2
