N	2gram	Tiupa_Anal_3	Myshleni
1	в том	9	28
2	и в	18	28
3	то что	2	28
4	в этом	14	27
5	не может	2	19
6	том что	12	19
7	таким образом	4	18
8	что он	4	18
9	только в	2	18
10	что в	9	17
11	не только	22	16
12	может быть	9	13
13	сказать что	2	13
14	точки зрения	3	13
15	и не	12	11
16	как бы	10	11
17	что мы	2	11
18	к тому	6	10
19	но и	13	10
20	по отношению	7	10
21	но не	7	10
22	отношению к	7	10
23	с точки	2	10
24	могли бы	2	9
25	было бы	3	9
26	мы можем	2	9
27	никогда не	5	8
28	в самом	5	8
29	еще не	6	8
30	тем самым	4	8
31	тем что	2	8
32	того же	5	7
33	в нем	2	7
34	в сущности	5	7
35	в своем	4	7
36	как показывает	2	7
37	он не	6	7
38	вместе с	2	7
39	то же	3	7
40	там где	2	7
41	и к	4	6
42	и как	4	6
43	для него	6	6
44	в то	3	6
45	когда мы	2	6
46	его в	3	6
47	как и	14	6
48	можно сказать	4	6
49	так и	14	6
50	приводит к	4	6
51	как раз	7	6
52	мы не	3	6
53	это не	2	5
54	в пределах	4	5
55	и на	4	5
56	и все	2	5
57	но в	2	5
58	с тем	2	5
59	то в	2	5
60	могут быть	2	5
61	в этой	6	5
62	именно в	3	4
63	в частности	12	4
64	не в	6	4
65	например в	2	4
66	к жизни	3	4
67	с этим	3	4
68	в первом	2	4
69	мы имеем	5	4
70	в качестве	12	4
71	одного и	3	4
72	что и	5	4
73	во всех	2	4
74	и того	3	4
75	в той	2	4
76	той же	5	4
77	в себе	2	4
78	из этих	3	3
79	в каждом	3	3
80	совершенно очевидно	2	3
81	как это	3	3
82	очевидно что	2	3
83	при этом	11	3
84	на его	2	3
85	и той	2	3
86	хотя и	2	3
87	в целом	3	3
88	в их	6	3
89	этом отношении	3	3
90	те же	2	3
91	во втором	4	3
92	и по	2	3
93	нуждается в	2	3
94	и здесь	2	3
95	но как	3	3
96	по своей	2	3
97	на примере	2	3
98	с его	8	3
99	только не	3	3
100	в них	2	3
101	в случае	5	3
102	по себе	4	3
103	это и	2	3
104	иначе говоря	2	3
105	один из	2	3
106	в его	7	3
107	только к	2	3
108	как в	3	3
109	одной и	2	3
110	в себя	2	3
111	до известной	3	3
112	а не	9	3
113	и его	13	3
114	представляет собой	5	3
115	и т.д	2	3
116	отношения к	2	3
117	не менее	4	2
118	с другой	7	2
119	в конце	5	2
120	прежде всего	5	2
121	самом деле	2	2
122	имеем дело	4	2
123	несмотря на	2	2
124	и от	2	2
125	известной степени	3	2
126	во второй	7	2
127	все это	3	2
128	другой стороны	5	2
129	принадлежит к	4	2
130	все эти	2	2
131	состоит в	4	2
132	для всех	2	2
133	были бы	3	2
134	в одном	4	2
135	не с	2	2
136	по своему	2	2
137	ключ к	3	2
138	этого слова	2	2
139	все же	4	2
140	когда он	2	2
141	внимание на	4	2
142	дело с	3	2
143	а и	4	2
144	а в	10	2
145	хотя в	2	2
146	но с	2	2
147	в значительной	2	2
148	в иной	2	2
149	в данном	4	2
150	в новую	2	2
151	что они	3	2
152	в новом	2	2
