N	2gram	Berdyaev_M_2	Hudozhes
1	в мире	7	23
2	и не	18	16
3	в том	3	15
4	и в	46	15
5	не только	18	15
6	может быть	21	13
7	а в	2	12
8	и его	5	12
9	в этом	20	11
10	в себе	10	11
11	как бы	8	10
12	отношению к	2	10
13	но и	15	10
14	так и	4	10
15	по отношению	2	10
16	то же	5	10
17	а не	13	10
18	такого рода	2	9
19	в его	5	9
20	точки зрения	2	9
21	себя в	4	8
22	или иной	2	7
23	но в	10	7
24	я и	2	7
25	в основе	2	6
26	с его	4	6
27	что в	4	6
28	том что	4	6
29	не в	9	6
30	отношение к	8	6
31	не может	15	6
32	по своей	3	6
33	ни в	3	5
34	только в	3	5
35	в самом	5	5
36	того что	6	5
37	в нем	22	5
38	то что	5	5
39	уже не	4	5
40	место в	2	4
41	в этих	2	4
42	личности в	2	4
43	прежде всего	12	4
44	к тому	5	4
45	для него	18	4
46	хотя и	2	4
47	он не	10	4
48	в своей	5	4
49	как к	2	4
50	отношения к	2	4
51	сказать что	3	4
52	между тем	2	4
53	не знает	9	4
54	к которому	3	4
55	личности и	2	3
56	если бы	3	3
57	в отношении	5	3
58	это не	5	3
59	что он	7	3
60	и к	7	3
61	человека к	8	3
62	в свою	4	3
63	человеческой жизни	2	3
64	к нему	2	3
65	не будет	3	3
66	как и	13	3
67	лишь в	2	3
68	и что	2	3
69	и для	7	3
70	не случайно	2	3
71	потому что	12	3
72	но он	11	3
73	в русской	6	3
74	его в	3	3
75	в которой	2	3
76	на деле	4	3
77	на этом	2	2
78	я не	5	2
79	но на	2	2
80	себя и	3	2
81	способность к	2	2
82	в нашем	7	2
83	тому что	4	2
84	жизни в	3	2
85	в своем	8	2
86	в них	3	2
87	превращается в	2	2
88	человека и	7	2
89	по себе	2	2
90	к своему	2	2
91	с самим	3	2
92	есть в	3	2
93	говорит что	2	2
94	личности к	2	2
95	во всех	2	2
96	другим и	2	2
97	и потому	7	2
98	на почве	3	2
99	оно не	2	2
100	принадлежит к	2	2
101	по преимуществу	5	2
102	но она	2	2
103	как в	7	2
104	другого в	2	2
105	это и	3	2
106	того чтобы	4	2
107	для того	5	2
108	к другому	3	2
109	так же	6	2
110	с ним	3	2
111	ведет к	13	2
112	и на	3	2
113	у него	22	2
114	самим собою	2	2
115	в этой	7	2
116	отношении к	3	2
117	о том	3	2
118	и это	5	2
119	в чем	3	2
120	бы не	2	2
