N	2gram	Ircho_Kome_3	Formalny
1	т е	16	34
2	и в	22	24
3	в его	8	23
4	прежде всего	5	22
5	и не	21	20
6	так и	4	18
7	не может	3	16
8	точки зрения	4	16
9	в этом	8	15
10	в нем	3	14
11	может быть	6	14
12	с точки	3	13
13	таким образом	12	13
14	и т	4	12
15	в своем	8	11
16	не менее	5	11
17	как и	3	11
18	в своей	5	11
19	в их	2	11
20	вовсе не	4	10
21	и ее	2	10
22	то же	7	10
23	в ней	4	10
24	а не	4	10
25	и его	6	10
26	все это	5	9
27	в то	6	9
28	в ее	3	8
29	же время	5	8
30	в свою	7	8
31	то что	4	8
32	как в	2	8
33	и на	2	8
34	не в	4	8
35	и с	4	8
36	до конца	4	7
37	не только	5	7
38	но и	4	7
39	отнюдь не	4	6
40	и все	2	6
41	и здесь	4	6
42	было бы	3	6
43	в том	12	6
44	в этой	3	6
45	самом деле	6	6
46	свою очередь	6	6
47	до сих	9	6
48	в пределах	2	6
49	она не	2	6
50	еще не	6	6
51	как бы	3	6
52	сих пор	9	6
53	в целом	3	6
54	а в	7	6
55	отношения к	2	6
56	как это	5	6
57	хотя бы	4	5
58	должен быть	2	5
59	при этом	7	5
60	во всех	2	5
61	в самом	9	5
62	со стороны	11	5
63	как мы	2	5
64	с другой	4	5
65	но в	5	5
66	с его	3	4
67	в частности	3	4
68	никогда не	3	4
69	не как	2	4
70	стороны и	2	4
71	с другими	2	4
72	и к	3	4
73	в мире	2	4
74	одной стороны	3	4
75	если бы	8	4
76	конечно не	3	4
77	всяком случае	3	4
78	отношению к	3	4
79	так же	4	4
80	по отношению	5	4
81	т п	4	4
82	в связи	4	4
83	что в	5	4
84	с одной	3	4
85	друг друга	4	4
86	в которой	3	4
87	с этой	3	4
88	во всяком	3	4
89	к этой	2	4
90	в отношении	4	3
91	связи с	5	3
92	в них	3	3
93	то ни	3	3
94	бы то	2	3
95	ясно что	6	3
96	что он	8	3
97	с помощью	4	3
98	к тому	6	3
99	аналогии с	2	3
100	не по	7	3
101	не о	3	3
102	он не	5	3
103	если он	2	3
104	один из	3	3
105	все же	4	3
106	отношение к	5	3
107	когда он	4	3
108	не было	2	3
109	мы не	2	3
110	и даже	3	3
111	между ними	2	3
112	его в	8	3
113	целый ряд	2	3
114	ничем не	4	3
115	в основе	2	3
116	в себе	4	3
117	здесь не	2	3
118	бы в	4	3
119	в области	2	3
120	под влиянием	2	2
121	а как	2	2
122	нисколько не	3	2
123	прежде чем	3	2
124	с тем	4	2
125	и со	2	2
126	это не	2	2
127	и особенно	2	2
128	с этим	3	2
129	в одном	2	2
130	идет о	3	2
131	все время	2	2
132	ни было	2	2
133	ни в	10	2
134	по существу	2	2
135	но все	4	2
136	если мы	2	2
137	только как	2	2
138	и если	2	2
139	одной из	3	2
140	от того	2	2
141	к ней	8	2
142	как раз	6	2
143	за пределы	2	2
144	нет и	4	2
145	не с	2	2
146	что и	8	2
147	на него	4	2
148	вместе с	9	2
149	не дает	4	2
150	от нее	3	2
151	она была	2	2
152	не могла	3	2
153	не приходится	2	2
154	и что	6	2
155	приводит к	3	2
156	не так	3	2
157	его не	2	2
158	из этой	2	2
159	или иначе	2	2
160	в результате	2	2
161	между тем	2	2
162	является конечно	2	2
163	в своих	2	2
164	на его	2	2
165	ничего не	3	2
166	если же	2	2
167	и это	2	2
168	с ним	5	2
