N	2gram	Bakhtin_fo_2	KFilosof
1	может быть	7	43
2	в его	8	39
3	в нем	5	31
4	не может	2	27
5	и не	9	26
6	и в	46	22
7	в котором	4	21
8	в себе	4	21
9	а не	4	17
10	и его	12	17
11	только в	11	16
12	точки зрения	10	13
13	в этом	22	13
14	для него	3	12
15	но не	5	12
16	и это	2	12
17	все эти	5	11
18	не в	9	11
19	в своем	5	10
20	это не	2	10
21	все это	6	10
22	во всех	11	10
23	с точки	8	10
24	и есть	2	9
25	но и	9	9
26	в их	3	9
27	как бы	10	9
28	и все	6	9
29	и для	9	9
30	не было	3	8
31	лишь в	2	8
32	мир в	4	8
33	было бы	2	8
34	жизни и	8	8
35	на основе	3	7
36	вовсе не	13	7
37	конечно не	4	7
38	что и	3	7
39	то что	7	7
40	в себя	2	7
41	в смысле	5	6
42	в том	10	6
43	но это	2	6
44	отношение к	3	6
45	и только	2	6
46	в мире	4	6
47	отнюдь не	4	6
48	и их	4	6
49	он не	5	6
50	уже не	3	6
51	мира в	3	6
52	никогда не	6	5
53	ее и	2	5
54	но эта	2	5
55	то же	8	5
56	именно в	2	5
57	должно быть	5	5
58	в основе	6	5
59	его в	6	5
60	с ним	4	5
61	но в	10	5
62	не знает	2	5
63	жизни в	4	5
64	как и	8	5
65	не только	11	5
66	все же	6	5
67	мы имеем	2	5
68	жизни как	2	5
69	там где	2	5
70	жизнь как	2	5
71	место в	4	4
72	что в	5	4
73	здесь мы	3	4
74	при этом	6	4
75	к ним	2	4
76	чем не	2	4
77	в одном	7	4
78	мира и	9	4
79	том что	4	4
80	в действительной	2	4
81	как его	2	4
82	а в	3	4
83	и весь	2	3
84	в час	2	3
85	до конца	2	3
86	и пр	2	3
87	этого мира	2	3
88	в виду	3	3
89	в корне	2	3
90	того что	3	3
91	рядом с	2	3
92	и на	7	3
93	и совершенно	3	3
94	людей и	2	3
95	в то	5	3
96	отсюда и	2	3
97	о том	4	3
98	но здесь	2	3
99	всех этих	7	3
100	а следовательно	3	3
101	не быть	2	3
102	по своему	2	3
103	еще не	6	3
104	нет и	3	3
105	быть и	2	3
106	для того	8	3
107	тем что	3	3
108	могут быть	2	3
109	в другом	3	3
110	здесь не	2	3
111	смысла и	2	2
112	та же	3	2
113	прежде всего	14	2
114	или иной	2	2
115	ему в	3	2
116	и как	3	2
117	совсем не	2	2
118	же время	4	2
119	себя и	3	2
120	его жизни	4	2
121	по себе	2	2
122	и других	2	2
123	потому что	8	2
124	имеем в	3	2
125	к себе	4	2
126	говорить о	2	2
127	весь мир	3	2
128	пространства и	2	2
129	с тем	2	2
130	к этому	3	2
131	человек не	2	2
132	что он	3	2
133	в качестве	3	2
134	него и	2	2
135	тот же	3	2
136	со всеми	2	2
137	в это	3	2
138	этом мире	6	2
139	и потому	2	2
140	жизни но	2	2
141	так и	7	2
142	как в	4	2
143	если не	2	2
144	еще более	4	2
145	того чтобы	8	2
146	жизнь и	3	2
147	в данном	2	2
148	и та	2	2
149	от этого	2	2
150	этот мир	2	2
151	в этой	2	2
152	которой он	2	2
153	видения и	2	2
154	дан в	3	2
