N	2gram	Berdyaev_M_1	Istorich
1	и в	28	22
2	в этом	20	17
3	т е	2	16
4	что в	10	15
5	не только	29	14
6	но и	25	12
7	и не	11	12
8	может быть	30	11
9	в этих	4	11
10	но в	7	10
11	что он	10	9
12	в нем	13	9
13	что и	4	9
14	вместе с	6	9
15	в том	6	9
16	этот случай	2	8
17	с этим	3	8
18	том что	3	8
19	мы видим	2	8
20	к этому	2	7
21	но не	8	7
22	то что	5	7
23	уже не	4	7
24	так как	3	7
25	в них	4	6
26	это не	5	6
27	с ней	2	6
28	не все	2	6
29	а в	4	6
30	а не	25	6
31	в ином	2	6
32	ничего не	3	6
33	если бы	2	6
34	живет в	2	5
35	до сих	2	5
36	есть и	3	5
37	один из	4	5
38	все же	2	5
39	в свете	3	5
40	он не	24	5
41	того что	7	5
42	сих пор	2	5
43	к нему	7	5
44	могут быть	2	5
45	в этой	6	5
46	и там	4	4
47	у нас	5	4
48	не в	16	4
49	только в	6	4
50	на этом	3	4
51	в свою	2	4
52	она не	4	4
53	одним из	2	4
54	к ней	4	4
55	связано с	2	4
56	отношение к	4	4
57	для нас	3	4
58	и его	9	4
59	и на	6	4
60	не может	28	4
61	но он	9	4
62	тем что	4	4
63	все эти	2	4
64	и с	3	4
65	связана с	2	3
66	для них	3	3
67	мы еще	2	3
68	и от	2	3
69	о себе	3	3
70	и все	10	3
71	прежде всего	10	3
72	к тому	3	3
73	и к	2	3
74	как и	5	3
75	и как	2	3
76	все что	2	3
77	у него	17	3
78	было бы	10	3
79	мы увидим	3	3
80	в его	9	3
81	никогда не	14	3
82	и она	2	3
83	должен был	4	3
84	на том	3	3
85	и у	2	3
86	его не	3	3
87	сказать что	2	3
88	потому что	16	3
89	он и	2	3
90	о том	2	3
91	его в	3	3
92	не было	18	2
93	с тем	9	2
94	и есть	14	2
95	в жизни	3	2
96	если он	5	2
97	вопрос о	2	2
98	нет никаких	2	2
99	от него	4	2
100	как в	2	2
101	то время	2	2
102	себе и	2	2
103	не мог	3	2
104	в ней	15	2
105	и потому	10	2
106	относится к	2	2
107	и он	12	2
108	в этот	2	2
109	в котором	8	2
110	не имеет	3	2
111	отношению к	2	2
112	и это	12	2
113	жизни и	2	2
114	нет ничего	7	2
115	который был	2	2
116	по отношению	2	2
117	в своем	10	2
118	никто не	2	2
119	и вот	3	2
120	и что	2	2
121	есть только	2	2
122	и для	2	2
123	в человека	4	2
124	время как	2	2
125	в которых	4	2
126	точки зрения	4	2
127	в то	2	2
128	как будто	2	2
129	него и	2	2
130	с того	2	2
131	же можно	2	2
132	в него	3	2
133	всю жизнь	4	2
134	с собой	3	2
