N	3gram	Vygotskiy__4	Marksizm
1	с точки зрения	11	20
2	в самом деле	6	9
3	в связи с	3	7
4	в настоящее время	2	6
5	и того же	5	5
6	одного и того	5	5
7	в отличие от	2	5
8	с другой стороны	8	5
9	одни и те	3	5
10	и те же	3	5
11	то же самое	7	3
12	и тот же	7	3
13	в этом отношении	7	3
14	в высшей степени	2	3
15	один и тот	7	3
16	в том что	31	3
17	в этом случае	3	3
18	для того чтобы	5	3
19	в том числе	2	2
20	смысле этого слова	7	2
21	и той же	4	2
22	том числе и	2	2
23	не могут быть	2	2
24	так же как	5	2
25	на первый план	4	2
26	в свою очередь	2	2
27	же как и	4	2
28	между этими двумя	2	2
29	можно было бы	5	2
30	во всяком случае	3	2
31	в этом смысле	8	2
32	одной и той	4	2
33	в какой степени	2	2
