N	2gram	Medvedev_F_2	Hudozhes
1	в качестве	2	19
2	состоит в	2	16
3	и не	20	16
4	в том	11	15
5	и в	38	15
6	не только	9	15
7	может быть	23	13
8	при этом	9	12
9	а в	6	12
10	и его	21	12
11	но не	2	11
12	в этом	27	11
13	как бы	4	10
14	но и	13	10
15	так и	8	10
16	то же	6	10
17	а не	6	10
18	в его	10	9
19	литературного произведения	3	9
20	точки зрения	8	9
21	произведение искусства	2	8
22	сводится к	5	8
23	с другой	3	7
24	в отличие	2	7
25	в искусстве	2	7
26	в то	5	7
27	отличие от	2	7
28	но в	4	7
29	в основе	5	6
30	с его	11	6
31	что в	7	6
32	в ее	2	6
33	том что	2	6
34	не в	15	6
35	же время	5	6
36	отношение к	2	6
37	приводит к	2	6
38	не может	14	6
39	могут быть	6	5
40	ни в	2	5
41	только в	6	5
42	тем самым	2	5
43	в самом	16	5
44	того что	3	5
45	в нем	13	5
46	то что	6	5
47	между ними	2	5
48	другой стороны	4	5
49	в их	6	5
50	уже не	7	5
51	место в	3	4
52	в этих	2	4
53	не столько	4	4
54	прежде всего	15	4
55	к тому	4	4
56	а только	2	4
57	и как	3	4
58	для него	7	4
59	например в	3	4
60	хотя и	3	4
61	он не	6	4
62	и тем	2	4
63	в своей	7	4
64	произведения искусства	2	4
65	со стороны	2	4
66	как к	3	4
67	входит в	4	4
68	в слове	5	4
69	и то	2	4
70	сказать что	2	4
71	между тем	2	4
72	речи и	3	4
73	говорить о	5	4
74	без исключения	2	4
75	как это	2	4
76	художественного произведения	6	3
77	если бы	5	3
78	произведения как	2	3
79	это не	2	3
80	этом смысле	2	3
81	была бы	3	3
82	или иного	5	3
83	что он	5	3
84	и к	4	3
85	к его	2	3
86	в пределах	12	3
87	со своей	2	3
88	того или	4	3
89	как раз	6	3
90	к нему	3	3
91	не будет	2	3
92	в целом	3	3
93	так в	3	3
94	таким образом	20	3
95	как и	9	3
96	в той	2	3
97	лишь в	7	3
98	во втором	7	3
99	с точки	7	3
100	во всей	2	3
101	и для	5	3
102	в таком	2	3
103	не следует	4	3
104	их в	2	3
105	потому что	2	3
106	и ее	6	3
107	его в	3	3
108	в художественном	2	3
109	в которой	2	3
110	в области	3	3
111	в виду	2	3
112	слова в	3	2
113	истории литературы	6	2
114	на этом	2	2
115	и более	2	2
116	в сторону	4	2
117	тому что	2	2
118	превращается в	2	2
119	или даже	2	2
120	не как	4	2
121	этих двух	2	2
122	вовсе не	11	2
123	по себе	7	2
124	для понимания	6	2
125	совершенно иной	2	2
126	роль в	3	2
127	идет о	2	2
128	времени и	2	2
129	говорит в	5	2
130	в значительной	3	2
131	значительной степени	3	2
132	во всех	5	2
133	к действительности	3	2
134	и о	2	2
135	совпадает с	2	2
136	на почве	9	2
137	даже в	2	2
138	не является	3	2
139	оно не	4	2
140	и др	3	2
141	по преимуществу	5	2
142	художественное произведение	2	2
143	как в	4	2
144	а именно	2	2
145	было и	2	2
146	слова как	2	2
147	и прежде	3	2
148	здесь не	4	2
149	его организации	2	2
150	именно в	5	2
151	все эти	6	2
152	это и	5	2
153	этого термина	2	2
154	до известной	3	2
155	не входит	3	2
156	того чтобы	3	2
157	для того	3	2
158	и по	2	2
159	или в	3	2
160	к другому	2	2
161	с ним	2	2
162	от всех	2	2
163	с другими	10	2
164	и на	3	2
165	между двумя	2	2
166	языка в	9	2
167	литературных произведений	2	2
168	известной степени	4	2
169	но как	2	2
170	в этой	6	2
171	и это	2	2
172	из этого	2	2
173	в чем	2	2
