N	2gram	Losev_Prob_5	Sovremen
1	не может	5	17
2	точки зрения	10	12
3	может быть	7	12
4	таким образом	13	11
5	мы не	2	9
6	в этом	17	7
7	и в	30	7
8	и не	12	6
9	как и	7	6
10	в результате	7	6
11	мы можем	5	6
12	ничего не	2	6
13	прежде всего	6	5
14	все эти	2	5
15	с точки	8	5
16	как бы	6	4
17	жизни и	2	4
18	вместе с	7	4
19	это не	2	4
20	а в	6	4
21	не только	18	4
22	с помощью	2	4
23	в том	12	4
24	в дальнейшем	7	4
25	из них	2	4
26	так как	6	4
27	уже в	2	3
28	все же	9	3
29	отнюдь не	4	3
30	в конце	8	3
31	то же	2	3
32	ясно что	4	3
33	в нем	6	3
34	а не	5	3
35	и к	4	3
36	для нас	10	3
37	у нас	7	3
38	не в	7	3
39	в этой	10	3
40	еще не	3	3
41	он в	3	3
42	при этом	4	3
43	было бы	4	3
44	в одном	3	3
45	и все	9	3
46	в себе	4	3
47	в области	2	3
48	но в	9	3
49	в настоящее	3	2
50	не могут	2	2
51	не менее	5	2
52	в виде	10	2
53	у него	11	2
54	то и	2	2
55	тем же	3	2
56	или же	2	2
57	с одной	3	2
58	еще более	3	2
59	как мы	2	2
60	уже не	6	2
61	в свою	2	2
62	самом деле	2	2
63	и что	6	2
64	и даже	14	2
65	тем не	5	2
66	то ни	2	2
67	в таком	2	2
68	но все	4	2
69	во всяком	2	2
70	и они	2	2
71	что в	5	2
72	настоящее время	3	2
73	тот же	3	2
74	со всеми	2	2
75	на его	2	2
76	такого рода	2	2
77	по мнению	2	2
78	в самом	5	2
79	в которой	5	2
80	в науке	2	2
81	в его	12	2
82	всяком случае	2	2
