N	2gram	Nazirov_Tr_1	Dialekti
1	и не	7	30
2	и в	18	18
3	ничего не	2	17
4	может быть	7	17
5	в нем	4	16
6	ни в	2	15
7	так что	2	15
8	не имеет	2	15
9	потому что	2	14
10	что в	4	13
11	то что	4	13
12	не только	8	13
13	и даже	4	13
14	и что	4	12
15	в этом	9	12
16	не может	5	12
17	что это	5	11
18	что он	6	11
19	как бы	7	11
20	все это	4	11
21	в себе	4	11
22	прежде всего	4	10
23	несмотря на	5	10
24	то же	5	10
25	никогда не	2	9
26	отнюдь не	3	9
27	это не	5	9
28	в том	2	9
29	так и	5	9
30	том что	4	9
31	и то	2	9
32	но это	4	8
33	к нему	3	8
34	не просто	2	7
35	и как	3	7
36	но и	4	7
37	что она	2	7
38	не в	2	6
39	в то	5	6
40	с ним	3	6
41	но в	6	6
42	я не	4	5
43	он сам	7	5
44	в своем	3	5
45	как же	2	5
46	говорит о	2	5
47	в дальнейшем	5	5
48	все же	5	5
49	отношение к	2	5
50	и он	3	5
51	и с	7	5
52	в конце	3	4
53	к тому	2	4
54	об этом	4	4
55	же время	6	4
56	так же	4	4
57	о том	2	4
58	как это	3	4
59	состоит из	2	3
60	но эта	2	3
61	что и	2	3
62	что я	4	3
63	говорит что	2	3
64	он не	2	3
65	в его	3	3
66	один из	3	3
67	в самом	2	3
68	даже если	2	3
69	но все	2	3
70	должно быть	3	3
71	жизнь и	3	3
72	в данном	2	3
73	ничем не	2	3
74	и все	4	3
75	как у	2	2
76	но они	2	2
77	не был	2	2
78	бы и	2	2
79	она должна	2	2
80	в виде	2	2
81	в частности	2	2
82	как в	3	2
83	точно так	2	2
84	раз и	2	2
85	вопрос о	2	2
86	в мире	3	2
87	как и	5	2
88	чем он	2	2
89	для него	3	2
90	еще не	4	2
91	о чем	3	2
92	никто не	3	2
93	мог бы	3	2
94	все эти	3	2
95	уже не	2	2
96	то и	2	2
97	он и	2	2
98	он всегда	4	2
99	и это	2	2
