N	2gram	Bakhtin_Pr_5	Myshleni
1	то что	10	26
2	что он	24	25
3	в этом	14	25
4	потому что	8	21
5	таким образом	7	19
6	в том	5	18
7	не может	18	18
8	точки зрения	7	18
9	что в	6	16
10	и в	35	16
11	того что	3	16
12	так как	4	16
13	не только	10	16
14	так же	7	15
15	том что	3	15
16	в сущности	14	13
17	сказать что	3	13
18	отношению к	7	12
19	вопрос о	2	12
20	по отношению	6	12
21	и не	27	12
22	и что	6	12
23	отношение к	6	11
24	в его	21	11
25	но не	6	10
26	было бы	3	10
27	как мы	8	10
28	а не	4	10
29	только в	6	10
30	в отношении	9	9
31	может быть	14	9
32	с точки	2	9
33	должно быть	3	8
34	о том	2	8
35	как и	18	8
36	мы должны	3	8
37	он не	13	8
38	то же	15	8
39	внутренняя речь	3	7
40	друг с	4	7
41	в нем	16	7
42	но он	4	7
43	так и	8	7
44	по себе	4	7
45	приводит к	2	7
46	внутренней речи	5	7
47	с другом	4	7
48	что все	2	6
49	не в	10	6
50	но и	14	6
51	что оно	2	6
52	и на	6	6
53	речи в	2	6
54	как он	2	6
55	но в	19	6
56	у него	4	6
57	к тому	6	6
58	в той	4	6
59	мы можем	2	6
60	в другом	12	6
61	на вопрос	2	5
62	самого начала	8	5
63	никогда не	4	5
64	тому что	2	5
65	в своем	2	5
66	в такой	4	5
67	что они	6	5
68	что с	2	5
69	для него	14	5
70	как бы	31	5
71	хотя бы	2	5
72	не знает	6	5
73	в то	11	5
74	с ним	7	5
75	тот же	4	5
76	как в	5	5
77	только что	3	5
78	с самого	8	5
79	можно было	2	5
80	тем что	4	5
81	в которой	2	5
82	ничего не	3	5
83	все эти	3	4
84	с другой	4	4
85	это не	3	4
86	с этой	2	4
87	так что	5	4
88	в пределах	11	4
89	при этом	2	4
90	в самом	6	4
91	на этот	2	4
92	в целом	3	4
93	тому чтобы	2	4
94	и по	2	4
95	время как	2	4
96	бы в	4	4
97	мысли в	2	4
98	точек зрения	2	4
99	вообще не	2	4
100	еще не	7	4
101	за пределы	3	4
102	вместе с	2	4
103	той же	2	4
104	тому как	2	4
105	и то	5	4
106	такой же	3	4
107	подобно тому	2	4
108	и т.д	3	4
109	не менее	2	3
110	прежде всего	12	3
111	мы знаем	2	3
112	и как	2	3
113	но это	6	3
114	самом деле	10	3
115	но как	4	3
116	но что	2	3
117	до конца	4	3
118	к нему	13	3
119	мы видели	2	3
120	его и	3	3
121	а в	7	3
122	и с	12	3
123	говорить о	3	3
124	по своей	2	3
125	в первом	2	3
126	в этих	2	3
127	между тем	4	3
128	между двумя	2	3
129	с тем	3	3
130	с этим	3	3
131	в одном	6	3
132	этих двух	2	3
133	все же	8	3
134	и того	2	3
135	это и	3	3
136	то в	2	3
137	по своему	4	3
138	одной из	2	3
139	еще в	4	3
140	его мысли	2	3
141	с таким	2	3
142	что и	3	3
143	говорит о	2	3
144	показать что	2	3
145	на этом	2	3
146	и его	14	3
147	он в	4	3
148	в чем	4	3
149	я не	8	2
150	себя и	8	2
151	друг другу	4	2
152	что у	6	2
153	столь же	2	2
154	и от	3	2
155	именно потому	2	2
156	на всю	2	2
157	к одному	3	2
158	но все	4	2
159	высшей степени	3	2
160	на его	4	2
161	его отношение	4	2
162	совпадает с	2	2
163	в ней	2	2
164	в виду	3	2
165	в котором	3	2
166	отношением к	3	2
167	в своей	4	2
168	из них	3	2
169	в отличие	2	2
170	мы говорили	2	2
171	все это	14	2
172	другой стороны	3	2
173	те же	2	2
174	для другого	2	2
175	но только	3	2
176	и даже	5	2
177	говорит он	4	2
178	все равно	2	2
179	с которыми	2	2
180	на нее	2	2
181	их в	2	2
182	своего собственного	3	2
183	в этот	2	2
184	поэтому он	3	2
185	сознания и	4	2
186	для его	2	2
187	в них	4	2
188	лежит в	2	2
189	в жизни	2	2
190	вовсе не	7	2
191	его в	4	2
192	быть в	2	2
193	и к	12	2
194	отличие от	2	2
195	что я	13	2
196	во всем	4	2
197	слов и	3	2
198	со всеми	3	2
199	когда он	3	2
200	в высшей	3	2
201	благодаря этому	2	2
202	во всех	3	2
203	только на	4	2
204	тому же	3	2
205	а с	3	2
206	такое же	2	2
207	ни одного	9	2
208	во всяком	4	2
209	ни на	2	2
210	сознание и	2	2
211	на протяжении	5	2
212	как будто	4	2
213	из этого	2	2
214	этими двумя	2	2
215	знает что	3	2
