N	2gram	Bakhtin_KF_1	Stilisti
1	и в	24	42
2	как бы	9	27
3	не только	5	27
4	прежде всего	2	22
5	и т.д	2	20
6	хотя бы	4	17
7	но и	9	15
8	то же	5	15
9	и не	26	14
10	может быть	45	12
11	не может	27	12
12	точки зрения	12	11
13	как и	5	11
14	и как	2	10
15	отнюдь не	6	10
16	в этом	14	10
17	при этом	4	9
18	в то	3	9
19	то что	7	9
20	для того	3	9
21	мы не	3	9
22	все же	5	8
23	в ней	3	8
24	с тем	2	8
25	тем самым	4	8
26	в себе	21	8
27	и это	12	8
28	никогда не	5	7
29	же время	2	7
30	и тем	3	7
31	и на	3	7
32	потому что	2	7
33	было бы	8	7
34	а не	17	7
35	того чтобы	2	7
36	и его	17	7
37	только в	16	7
38	ничего не	3	7
39	или иной	2	6
40	не в	12	6
41	в этой	2	6
42	в свою	3	6
43	но ведь	5	6
44	в нем	28	6
45	во всех	11	6
46	в процессе	2	6
47	так и	2	6
48	или как	2	6
49	в области	2	6
50	слова в	2	5
51	независимо от	3	5
52	тому что	2	5
53	и их	6	5
54	а в	4	5
55	того или	3	5
56	в сознании	2	5
57	или иного	3	5
58	в его	40	5
59	с точки	9	5
60	что это	3	4
61	в каждом	3	4
62	но все	5	4
63	в качестве	2	4
64	той или	3	4
65	один из	2	4
66	все это	10	4
67	того что	3	4
68	о том	3	4
69	его в	5	4
70	но в	5	4
71	если бы	8	4
72	были бы	2	4
73	себя в	8	4
74	слово не	3	4
75	а с	2	4
76	всех своих	4	4
77	уже не	7	4
78	самом деле	3	4
79	и пр	3	4
80	и то	2	4
81	или иное	2	3
82	его и	2	3
83	это не	10	3
84	содержание и	2	3
85	для нас	4	3
86	здесь мы	4	3
87	и эта	2	3
88	но для	2	3
89	в котором	24	3
90	не имеем	3	3
91	в целом	10	3
92	жизни и	8	3
93	от того	3	3
94	лишь в	8	3
95	и здесь	7	3
96	та же	2	3
97	в виду	3	3
98	вследствие этого	2	3
99	и все	7	3
100	в одном	4	3
101	этого слова	2	3
102	в ее	16	3
103	том что	4	3
104	еще не	4	3
105	конечно не	7	3
106	как предмет	2	3
107	нет и	3	3
108	что и	7	3
109	не будет	2	3
110	сознания не	2	3
111	на самом	3	3
112	если не	2	3
113	деятельности и	2	3
114	и для	9	3
115	то или	2	3
116	не знает	5	3
117	место в	5	2
118	бы и	3	2
119	всех его	2	2
120	вопрос о	2	2
121	не нужно	2	2
122	в мире	6	2
123	в том	6	2
124	и конечно	2	2
125	но это	6	2
126	времени и	4	2
127	для него	8	2
128	до конца	3	2
129	мой поступок	6	2
130	в него	2	2
131	себе и	3	2
132	отношение к	5	2
133	и содержание	5	2
134	не было	8	2
135	все эти	10	2
136	но эта	5	2
137	должно быть	6	2
138	в своих	3	2
139	и ни	3	2
140	мы имеем	5	2
141	я и	2	2
142	в жизни	2	2
143	в основе	5	2
144	ни к	2	2
145	к этому	2	2
146	ясно что	3	2
147	человек не	2	2
148	не должно	3	2
149	что он	2	2
150	чему не	2	2
151	при условии	2	2
152	не должен	3	2
153	в действительной	4	2
154	но не	12	2
155	по своему	3	2
156	разве не	2	2
157	и когда	2	2
158	и потому	2	2
159	и этот	3	2
160	не есть	20	2
161	войти в	2	2
162	в своей	10	2
163	бытия в	5	2
164	как в	2	2
165	здесь не	3	2
166	бы не	3	2
167	которого и	2	2
168	из которых	2	2
169	к чему	3	2
170	к нему	12	2
171	с ним	5	2
172	тем что	3	2
173	в каком	4	2
174	действительной жизни	3	2
