N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	29
2	то есть	8	21
3	таким образом	4	20
4	и не	12	16
5	и все	4	13
6	как и	11	12
7	и т.п	9	12
8	но в	6	12
9	так и	8	11
10	и на	3	11
11	в этом	21	11
12	то же	5	10
13	как мы	3	10
14	в романе	6	10
15	в то	4	10
16	не только	20	10
17	но и	19	9
18	и с	2	9
19	же время	3	8
20	прежде всего	7	8
21	в его	4	8
22	и его	5	8
23	как бы	4	8
24	в них	2	7
25	мы видели	2	7
26	в том	10	7
27	своего рода	10	6
28	все они	2	5
29	это не	6	5
30	до конца	3	5
31	далеко не	4	5
32	в нем	5	5
33	в своей	5	5
34	и по	3	5
35	он и	2	5
36	перед нами	6	4
37	но они	2	4
38	в нашем	6	4
39	в литературе	2	4
40	но это	3	4
41	по своему	2	4
42	еще не	7	4
43	один из	3	4
44	то что	6	4
45	жизни и	7	4
46	на самом	4	4
47	с другой	5	4
48	также и	4	4
49	в результате	3	4
50	тем что	2	4
51	мира и	2	4
52	тому как	2	3
53	в частности	13	3
54	в качестве	8	3
55	в своем	5	3
56	все же	6	3
57	том что	7	3
58	более или	2	3
59	оттого что	2	3
60	мы можем	2	3
61	того что	6	3
62	он не	3	3
63	начала и	2	3
64	здесь не	2	3
65	или менее	2	3
66	другой стороны	2	3
67	при этом	26	3
68	в ней	4	3
69	границы между	2	3
70	подобно тому	2	3
71	в себе	5	3
72	по своей	3	3
73	место в	2	2
74	времени и	7	2
75	бы не	2	2
76	к этому	2	2
77	в приведенном	2	2
78	в этих	3	2
79	жизни в	4	2
80	нового времени	3	2
81	в жизни	4	2
82	к тому	6	2
83	и к	2	2
84	соответствии с	6	2
85	есть в	2	2
86	но не	5	2
87	одной стороны	5	2
88	не может	7	2
89	о чем	2	2
90	может быть	18	2
91	хотя и	7	2
92	никогда не	4	2
93	уже не	5	2
94	а также	8	2
95	в котором	8	2
96	если в	2	2
97	со стороны	5	2
98	и для	3	2
99	как в	4	2
100	как раз	2	2
101	с одной	5	2
102	в той	4	2
103	и наконец	2	2
104	не столько	4	2
105	в слове	3	2
106	в своих	2	2
107	то он	2	2
108	их в	2	2
109	в основе	3	2
110	в одной	2	2
111	как будто	4	2
112	только в	6	2
113	о том	5	2
114	как он	2	2
115	так сказать	2	2
116	с ним	3	2
117	к которому	2	2
