N	2gram	Propp_Russ_2	slovoVRo
1	и в	29	41
2	и т	5	28
3	могут быть	2	19
4	во всех	3	17
5	но и	8	16
6	не только	10	16
7	а не	4	15
8	то же	4	14
9	может быть	13	14
10	не может	5	14
11	и на	6	14
12	в то	2	14
13	до конца	3	12
14	как бы	18	12
15	в этом	11	12
16	таким образом	6	9
17	все эти	3	9
18	прежде всего	2	8
19	но в	5	8
20	как в	7	8
21	как мы	3	8
22	или в	7	8
23	не в	4	7
24	в своей	2	7
25	все же	2	7
26	это не	5	6
27	при этом	6	6
28	а в	9	6
29	в них	4	6
30	с другой	2	5
31	все это	10	5
32	т д	5	5
33	к нему	4	5
34	с другими	3	5
35	далеко не	4	5
36	и от	3	4
37	кроме того	2	4
38	одной стороны	2	4
39	одним из	2	4
40	один из	2	4
41	в их	2	4
42	с одной	2	4
43	и с	10	4
44	в которой	2	4
45	и все	4	4
46	как и	11	4
47	здесь в	2	4
48	еще не	6	4
49	том же	4	4
50	и для	2	4
51	там где	2	4
52	никогда не	2	3
53	из этих	2	3
54	в том	22	3
55	в него	2	3
56	из них	4	3
57	данном случае	7	3
58	именно в	4	3
59	и других	3	3
60	того что	3	3
61	друг друга	3	3
62	в других	15	3
63	а иногда	2	3
64	образом в	2	3
65	не было	2	3
66	о том	9	3
67	его в	8	3
68	так как	13	3
69	по всей	3	3
70	и там	3	3
71	с этим	2	3
72	связанные с	2	3
73	с этой	2	3
74	по существу	4	3
75	в качестве	3	3
76	она не	3	3
77	было бы	3	3
78	из этого	2	3
79	в данном	6	3
80	и ее	2	3
81	как оно	2	3
82	же как	4	2
83	оно как	2	2
84	или даже	3	2
85	этом случае	6	2
86	для нас	6	2
87	так что	4	2
88	на этом	3	2
89	для того	6	2
90	вокруг него	2	2
91	и по	3	2
92	в этих	3	2
93	где они	2	2
94	уже не	4	2
95	у них	2	2
96	должно быть	2	2
97	так же	4	2
98	потому что	5	2
99	но он	3	2
100	между тем	3	2
101	за пределами	2	2
102	в котором	3	2
103	для них	2	2
104	между собой	2	2
105	дело не	2	2
106	к этому	5	2
107	связь с	3	2
108	у нас	4	2
109	том что	22	2
110	не с	2	2
111	одна из	11	2
112	но не	5	2
113	а на	9	2
114	них как	2	2
115	то время	2	2
116	совершенно не	2	2
117	и о	3	2
118	а также	4	2
119	с ней	5	2
120	в ее	3	2
121	так в	2	2
122	а с	2	2
123	на самом	2	2
124	мы не	6	2
125	можно было	2	2
126	и то	2	2
127	быть только	2	2
128	в виде	4	2
129	тем и	2	2
130	связи с	2	2
131	в эту	3	2
