N	2gram	Vygotskiy__5	KFilosof
1	может быть	11	43
2	в его	4	39
3	в нем	7	31
4	не может	9	27
5	и не	6	26
6	по отношению	2	25
7	и в	30	22
8	в котором	2	21
9	в себе	5	21
10	не есть	4	19
11	в ее	3	17
12	а не	8	17
13	и его	6	17
14	только в	5	16
15	точки зрения	7	13
16	в этом	14	13
17	ни в	3	12
18	для него	3	12
19	но не	7	12
20	и это	8	12
21	все эти	2	11
22	в своей	4	11
23	не в	8	11
24	в своем	6	10
25	это не	3	10
26	все это	2	10
27	во всех	2	10
28	с точки	2	10
29	и есть	5	9
30	в целом	5	9
31	но и	6	9
32	в их	3	9
33	как бы	19	9
34	и все	4	9
35	и для	6	9
36	если бы	11	8
37	было бы	5	8
38	жизни и	6	8
39	со стороны	3	8
40	и здесь	6	7
41	во всем	2	7
42	вовсе не	3	7
43	должен быть	2	7
44	что и	3	7
45	то что	37	7
46	в себя	2	7
47	в том	27	6
48	и только	3	6
49	совершенно не	6	6
50	он не	3	6
51	никогда не	9	5
52	хотя бы	3	5
53	то же	7	5
54	но все	2	5
55	именно в	6	5
56	должно быть	2	5
57	в основе	7	5
58	но в	5	5
59	не знает	2	5
60	как и	6	5
61	не только	16	5
62	все же	7	5
63	мы имеем	8	5
64	там где	4	5
65	времени и	3	4
66	что в	24	4
67	места и	2	4
68	для нас	3	4
69	при этом	8	4
70	чем не	2	4
71	в своих	5	4
72	в одном	2	4
73	не как	3	4
74	том что	21	4
75	а в	4	4
76	в каком	3	4
77	должна быть	2	3
78	что это	8	3
79	в каждом	2	3
80	в свою	3	3
81	не дает	2	3
82	до конца	2	3
83	нет в	2	3
84	в виду	4	3
85	себе и	2	3
86	был бы	5	3
87	не имеем	2	3
88	и тем	6	3
89	от того	4	3
90	того что	8	3
91	рядом с	5	3
92	и на	3	3
93	и совершенно	4	3
94	в ней	4	3
95	в то	2	3
96	события в	3	3
97	о том	10	3
98	и ни	2	3
99	мы не	3	3
100	этом смысле	2	3
101	ясно что	6	3
102	от него	4	3
103	еще не	5	3
104	быть и	2	3
105	на самом	2	3
106	самом деле	8	3
107	для того	20	3
108	тем что	6	3
109	могут быть	8	3
110	в другом	3	3
111	ничего не	2	3
112	и ясно	2	2
113	а с	5	2
114	котором мы	3	2
115	прежде всего	4	2
116	вопрос о	3	2
117	содержание и	4	2
118	или иной	2	2
119	и как	7	2
120	это есть	3	2
121	совсем не	2	2
122	и мы	16	2
123	себя и	2	2
124	в него	4	2
125	его с	2	2
126	по себе	7	2
127	тому что	8	2
128	для этого	9	2
129	что есть	2	2
130	содержания и	4	2
131	именно на	5	2
132	потому что	23	2
133	той или	2	2
134	и под	2	2
135	а как	2	2
136	с его	2	2
137	и то	9	2
138	мы получим	2	2
139	с тем	8	2
140	что эта	4	2
141	к этому	3	2
142	что он	17	2
143	герой и	2	2
144	и того	2	2
145	в качестве	2	2
146	тот же	3	2
147	и когда	9	2
148	и потому	5	2
149	и именно	4	2
150	так и	3	2
151	если я	2	2
152	как в	3	2
153	дело с	5	2
154	это только	3	2
155	это и	2	2
156	сводится к	5	2
157	того чтобы	20	2
158	и отсюда	3	2
159	и эта	2	2
160	в данном	3	2
161	и та	2	2
162	в этой	5	2
163	его на	2	2
164	дело в	2	2
165	едва ли	2	2
