N	2gram	Tiupa_Hudo_1	SlovoVZh
1	не может	7	16
2	точки зрения	5	14
3	может быть	5	14
4	и его	5	13
5	как бы	7	13
6	и в	14	12
7	отношению к	8	11
8	по отношению	8	11
9	и не	2	10
10	если бы	3	9
11	прежде всего	11	8
12	в нем	3	6
13	при этом	12	6
14	в том	12	6
15	только в	5	6
16	в ней	4	6
17	то что	8	5
18	никогда не	6	5
19	а не	12	5
20	можно сказать	4	5
21	то же	9	5
22	как и	9	5
23	том что	16	5
24	отнюдь не	3	5
25	как в	8	5
26	героя и	5	5
27	но в	5	5
28	и к	4	4
29	все же	3	4
30	жизни и	5	4
31	так и	13	4
32	на самом	2	4
33	уже не	7	4
34	что не	2	4
35	в литературе	3	4
36	не в	7	4
37	в этом	11	4
38	и на	3	4
39	его в	3	4
40	в самом	4	4
41	не только	12	4
42	не менее	5	3
43	в художественном	2	3
44	в своей	10	3
45	сих пор	2	3
46	все это	2	3
47	как к	3	3
48	и по	3	3
49	все эти	3	3
50	ясно что	2	3
51	в такой	2	3
52	по себе	2	3
53	но и	5	3
54	того что	4	3
55	и герой	2	3
56	или не	3	3
57	тем не	4	3
58	ни в	5	3
59	да и	2	3
60	самом деле	5	3
61	мы не	2	3
62	и с	4	3
63	о том	12	3
64	в себе	11	3
65	для него	10	3
66	до сих	2	3
67	в пределах	3	3
68	еще не	7	3
69	только на	2	3
70	и для	3	3
71	здесь не	2	3
72	в творчестве	3	3
73	с ним	4	3
74	между тем	8	3
75	автора и	2	2
76	с этой	2	2
77	с его	5	2
78	что в	6	2
79	лежит на	2	2
80	себя и	2	2
81	и так	2	2
82	в этих	5	2
83	на него	2	2
84	в форме	2	2
85	в своем	4	2
86	нет ничего	2	2
87	это не	7	2
88	влияние на	2	2
89	и все	4	2
90	жизнью и	2	2
91	в себя	2	2
92	и что	2	2
93	едва ли	3	2
94	с точки	3	2
95	для других	2	2
96	такой же	3	2
97	но не	3	2
98	еще раз	2	2
99	до конца	2	2
100	она не	4	2
101	в то	8	2
102	ничего не	8	2
103	он не	4	2
104	в его	8	2
105	и потому	2	2
