N	2gram	Medvedev_F_2	formyVre
1	и в	38	50
2	в этом	27	25
3	в нем	13	24
4	и его	21	16
5	прежде всего	15	15
6	и не	20	14
7	как мы	7	14
8	вовсе не	11	13
9	как раз	6	13
10	в его	10	13
11	по существу	7	12
12	так и	8	12
13	может быть	23	11
14	таким образом	20	11
15	то же	6	11
16	и как	3	10
17	времени и	2	10
18	но в	4	10
19	в конце	2	9
20	в том	11	9
21	же время	5	9
22	и др	3	9
23	в особенности	4	9
24	все эти	6	9
25	в других	7	9
26	в то	5	9
27	не только	9	9
28	с его	11	9
29	роль в	3	9
30	ничего не	4	9
31	в самом	16	8
32	и т	14	8
33	и их	3	8
34	но и	13	8
35	и на	3	8
36	как и	9	8
37	жизни и	3	8
38	ни в	2	8
39	т п	9	8
40	не было	6	7
41	это время	2	7
42	так сказать	3	7
43	все же	8	6
44	это не	2	6
45	в дальнейшем	4	6
46	например в	3	6
47	в их	6	6
48	не может	14	6
49	лишь в	7	6
50	в результате	6	6
51	так как	4	6
52	с этим	5	6
53	и все	3	6
54	связи с	13	6
55	во всех	5	6
56	то что	6	6
57	в ее	2	6
58	как в	4	6
59	между двумя	2	6
60	что в	7	5
61	и другие	2	5
62	не в	15	5
63	в пределах	12	5
64	и до	3	5
65	в связи	10	5
66	только и	3	5
67	в основе	5	5
68	точки зрения	8	5
69	всех этих	3	5
70	но все	3	5
71	если бы	5	5
72	отнюдь не	8	5
73	но не	2	5
74	он не	6	5
75	и речи	5	5
76	того чтобы	3	5
77	для того	3	5
78	могут быть	6	5
79	время и	3	4
80	характерно что	2	4
81	было и	2	4
82	кроме того	2	4
83	до конца	2	4
84	в котором	2	4
85	все это	3	4
86	между этими	3	4
87	не имеет	2	4
88	потому что	2	4
89	и с	9	4
90	в ней	6	4
91	именно как	4	4
92	в процессе	9	4
93	в той	2	4
94	том что	2	4
95	и для	5	4
96	и то	2	4
97	только в	6	4
98	и это	2	4
99	здесь не	4	4
100	в основу	2	3
101	не могут	7	3
102	в этих	2	3
103	формы и	2	3
104	к тому	4	3
105	с тем	11	3
106	при этом	9	3
107	хотя и	3	3
108	в виду	2	3
109	один из	2	3
110	этом отношении	7	3
111	именно в	5	3
112	и других	2	3
113	они не	4	3
114	а в	6	3
115	их в	2	3
116	сказать что	2	3
117	его в	3	3
118	подхода к	2	3
119	а как	3	3
120	для них	3	3
121	на фоне	4	3
122	к этому	4	3
123	значение и	3	3
124	в качестве	2	3
125	со своей	2	3
126	в сущности	4	3
127	по преимуществу	5	3
128	что и	8	3
129	вместе с	6	3
130	только на	3	3
131	во всей	2	3
132	еще более	5	3
133	а не	6	3
134	что не	4	3
135	между ними	2	3
136	мы не	3	3
137	в таком	2	3
138	или в	3	3
139	с другими	10	3
140	более того	5	3
141	во всяком	5	3
142	совершенно иной	2	3
143	и ее	6	3
144	входит в	4	3
145	этими двумя	2	3
146	место и	2	3
147	место в	3	2
148	уже в	2	2
149	совсем не	2	2
150	самого начала	2	2
151	же как	3	2
152	никогда не	2	2
153	с другой	3	2
154	была бы	3	2
155	а только	2	2
156	его от	4	2
157	в широком	2	2
158	с самого	2	2
159	они были	2	2
160	лишь как	4	2
161	их к	3	2
162	для него	7	2
163	и иные	2	2
164	не о	4	2
165	есть только	2	2
166	в целом	3	2
167	не к	2	2
168	отношение к	2	2
169	в некоторых	4	2
170	с помощью	10	2
171	совершенно безразлично	2	2
172	он становится	3	2
173	во втором	7	2
174	того что	3	2
175	и даже	4	2
176	и по	2	2
177	не входит	3	2
178	широком смысле	2	2
179	же и	2	2
180	быть конечно	2	2
181	в истории	6	2
182	бы совершенно	2	2
183	с ним	2	2
184	очень характерно	2	2
185	не является	3	2
186	к другому	2	2
187	здесь и	4	2
188	не как	4	2
189	раз и	4	2
190	по себе	7	2
191	и к	4	2
192	в чем	2	2
193	сюжета и	3	2
194	равно как	2	2
195	и может	3	2
196	было бы	6	2
197	на один	2	2
198	на почве	9	2
199	оно не	4	2
200	в своей	7	2
201	как бы	4	2
202	быть и	3	2
203	ее в	2	2
204	всего этого	5	2
205	даже не	2	2
206	и прежде	3	2
207	совершенно не	4	2
208	в отличие	2	2
209	если мы	5	2
210	уже не	7	2
211	в значительной	3	2
212	с точки	7	2
213	хотя бы	6	2
214	в которой	2	2
215	как она	2	2
216	от этого	3	2
217	тем что	8	2
218	на литературу	2	2
219	единства и	2	2
220	слова и	7	2
221	там где	4	2
222	отличие от	2	2
