N	2gram	Medvedev_S_1	KulturaY
1	и в	3	23
2	в том	5	22
3	не только	3	17
4	было бы	2	16
5	в этом	5	16
6	может быть	2	14
7	что в	2	13
8	том что	2	11
9	в его	3	11
10	еще не	2	9
11	таким образом	2	9
12	и что	2	7
13	то же	2	6
14	только в	2	6
15	не в	3	5
16	как бы	2	5
17	тем более	2	5
18	далеко не	2	5
19	для нас	3	4
20	только как	2	4
21	то что	2	4
22	должна быть	2	3
23	как же	3	3
24	по существу	2	3
25	это и	2	3
26	очевидно что	2	3
27	но и	2	3
28	по отношению	2	3
29	в результате	2	3
30	и только	3	3
31	все это	7	2
32	в частности	2	2
33	главным образом	2	2
34	за пределы	2	2
35	отношению к	2	2
36	дело не	2	2
37	более чем	3	2
38	она может	2	2
