N	2gram	Berdyaev_O_1	KFilosof
1	может быть	11	43
2	в его	7	39
3	в нем	10	31
4	не может	4	27
5	и не	13	26
6	и в	19	22
7	в себе	3	21
8	не есть	2	19
9	в ее	2	17
10	а не	11	17
11	и его	4	17
12	в этом	12	13
13	для него	5	12
14	все эти	4	11
15	в своей	2	11
16	не в	11	11
17	к нему	3	11
18	в своем	2	10
19	это не	3	10
20	все это	6	10
21	и есть	3	9
22	но и	13	9
23	как бы	3	9
24	и все	10	9
25	и для	2	9
26	не было	9	8
27	лишь в	7	8
28	было бы	3	8
29	в единстве	2	7
30	что и	2	7
31	то что	5	7
32	в том	5	6
33	момент в	2	6
34	отношение к	5	6
35	он не	7	6
36	никогда не	9	5
37	хотя бы	3	5
38	не имеет	2	5
39	должно быть	2	5
40	его в	2	5
41	с ним	3	5
42	но в	2	5
43	жизни в	2	5
44	как и	6	5
45	есть лишь	4	5
46	не только	11	5
47	все же	2	5
48	что в	4	4
49	в своих	3	4
50	том что	2	4
51	а в	5	4
52	до конца	7	3
53	этого мира	2	3
54	того что	3	3
55	и на	2	3
56	о том	3	3
57	и ни	2	3
58	от него	7	3
59	еще не	3	3
60	для того	3	3
61	что не	4	3
62	тем что	2	3
63	могут быть	3	3
64	в другом	2	3
65	и этим	2	3
66	ничего не	2	3
67	можно ли	2	2
68	прежде всего	9	2
69	вопрос о	10	2
70	совсем не	2	2
71	по себе	2	2
72	что есть	2	2
73	как к	2	2
74	ни у	2	2
75	потому что	9	2
76	с его	4	2
77	и то	2	2
78	с тем	2	2
79	к этому	2	2
80	человек не	7	2
81	что он	3	2
82	него и	4	2
83	этом мире	2	2
84	и потому	2	2
85	так и	2	2
86	того чтобы	4	2
87	человек и	4	2
88	в этой	5	2
