N	2gram	Tiupa_Lite_1	EvropaiE
1	и в	8	37
2	в пределах	3	25
3	точки зрения	6	23
4	что в	3	21
5	не только	24	18
6	с точки	2	17
7	в то	5	16
8	хотя бы	2	15
9	то же	5	15
10	в своем	11	14
11	в качестве	17	14
12	же время	5	14
13	но и	17	14
14	и не	12	14
15	но в	3	14
16	в этом	12	12
17	в их	3	11
18	в том	16	11
19	в области	3	11
20	так и	4	10
21	отнюдь не	2	9
22	прежде всего	11	9
23	все более	2	9
24	не может	5	9
25	в себе	7	9
26	только в	8	9
27	к тому	2	8
28	одной стороны	2	8
29	было бы	2	8
30	в своей	4	8
31	с одной	2	8
32	между тем	2	8
33	как и	6	7
34	того что	6	7
35	а также	5	7
36	с другой	3	7
37	также и	3	7
38	с этой	5	6
39	том что	14	6
40	может быть	13	6
41	как бы	7	6
42	то что	10	6
43	и даже	3	6
44	то есть	6	6
45	в частности	15	5
46	столь же	4	5
47	не в	8	5
48	но не	4	5
49	со стороны	4	5
50	тем самым	5	5
51	этой точки	3	5
52	в россии	2	5
53	как совокупность	3	4
54	или иной	2	4
55	несмотря на	3	4
56	в самом	3	4
57	даже в	2	4
58	не на	2	4
59	во многих	2	4
60	культуры в	4	4
61	тем более	2	4
62	как это	8	4
63	мира в	3	4
64	в сфере	3	3
65	этом отношении	2	3
66	никогда не	4	3
67	на себя	2	3
68	или иную	2	3
69	россии как	2	3
70	представляет собой	4	3
71	того же	2	3
72	в культуре	3	3
73	ту или	2	3
74	из них	4	3
75	всяком случае	2	3
76	не является	2	3
77	и тем	4	3
78	как в	5	3
79	и только	2	3
80	и прежде	3	3
81	можно было	2	3
82	потому что	3	3
83	во всяком	3	3
84	тем что	2	3
85	себе в	2	3
86	в данном	5	3
87	о том	2	3
88	дело в	3	3
89	всего лишь	4	3
90	для них	2	2
91	а не	16	2
92	в случае	4	2
93	во втором	2	2
94	для понимания	2	2
95	из того	2	2
96	же в	5	2
97	и того	2	2
98	в силу	4	2
99	должна быть	2	2
100	в сферу	2	2
101	не говоря	2	2
102	не к	2	2
103	по преимуществу	4	2
104	в его	7	2
105	говоря уже	2	2
106	не есть	2	2
107	в мире	2	2
108	жизни и	3	2
109	данном случае	4	2
110	всего в	3	2
111	а в	3	2
112	таким образом	3	2
113	ко всему	2	2
114	более чем	3	2
115	духовной жизни	4	2
116	поскольку он	2	2
117	в своих	4	2
118	могут быть	2	2
119	в этой	4	2
120	и то	2	2
121	по своей	3	2
122	как будто	2	2
123	далеко не	3	2
