N	2gram	Bakhtin_Fr_6	Vvedenie
1	и в	41	32
2	в том	2	31
3	в этом	12	30
4	может быть	2	26
5	том что	7	26
6	не только	10	22
7	того чтобы	4	20
8	таким образом	17	19
9	также и	6	18
10	то что	10	16
11	потому что	3	15
12	так как	10	15
13	не может	4	14
14	в самом	10	13
15	в нем	16	13
16	о том	9	13
17	того что	3	12
18	и не	3	12
19	в его	7	12
20	только в	3	12
21	как мы	12	11
22	в ее	5	11
23	в данном	3	11
24	что в	7	10
25	но в	8	9
26	и как	4	9
27	в истории	2	9
28	между тем	2	9
29	то же	5	9
30	в той	5	9
31	с другой	4	8
32	не в	4	8
33	именно в	4	8
34	прежде всего	10	7
35	в большей	4	7
36	точки зрения	2	7
37	о котором	4	7
38	но не	2	7
39	было бы	3	7
40	все же	4	7
41	самом деле	4	7
42	не могут	2	6
43	из этих	2	6
44	до сих	3	6
45	же время	5	6
46	один из	6	6
47	но и	13	6
48	все это	11	6
49	и даже	4	6
50	в то	6	6
51	как он	2	6
52	вовсе не	7	6
53	как и	7	6
54	сих пор	3	6
55	а именно	2	6
56	и его	13	6
57	тем что	5	6
58	уже в	4	5
59	так что	2	5
60	но если	2	5
61	как бы	7	5
62	данном случае	2	5
63	другой стороны	2	5
64	одним из	4	5
65	сказать что	6	5
66	в них	7	5
67	есть и	2	5
68	вместе с	6	5
69	а не	2	5
70	что не	3	5
71	связана с	2	4
72	с этой	3	4
73	времени и	2	4
74	как о	2	4
75	одной стороны	4	4
76	в котором	4	4
77	в особенности	7	4
78	этом отношении	3	4
79	с одной	4	4
80	и что	5	4
81	а в	4	4
82	в первом	3	4
83	как это	2	4
84	как она	2	4
85	что он	6	4
86	в своей	2	4
87	внимание на	2	4
88	как раз	2	4
89	и для	3	4
90	той же	5	4
91	и то	2	4
92	в себе	5	4
93	только с	3	4
94	он сам	3	3
95	что это	5	3
96	в частности	2	3
97	в этих	2	3
98	понятно что	2	3
99	или меньшей	3	3
100	в конце	2	3
101	в этой	8	3
102	на этом	2	3
103	большей или	4	3
104	до конца	2	3
105	при этом	3	3
106	хотя и	2	3
107	в ней	4	3
108	к нему	3	3
109	мы видели	2	3
110	из них	5	3
111	до нас	5	3
112	в своем	5	3
113	все эти	11	3
114	заключается в	2	3
115	так же	5	3
116	и на	9	3
117	в результате	4	3
118	говорить о	2	3
119	в начале	3	3
120	что даже	2	3
121	тогда когда	2	3
122	стороны и	2	3
123	связи с	2	3
124	в чем	3	3
125	одной из	3	3
126	в одном	5	3
127	в сущности	8	3
128	а также	5	3
129	должен быть	2	3
130	но с	2	3
131	в центре	2	3
132	второй половины	2	3
133	и вообще	4	3
134	в области	2	3
135	все время	4	2
136	до того	3	2
137	должна быть	2	2
138	находит себе	2	2
139	и другие	2	2
140	это уже	2	2
141	никогда не	8	2
142	для этого	2	2
143	историю и	2	2
144	в дальнейшем	2	2
145	находятся в	2	2
146	но это	3	2
147	что если	2	2
148	и сам	3	2
149	в ряде	3	2
150	и др	10	2
151	значение в	2	2
152	природы и	2	2
153	в форме	2	2
154	с помощью	6	2
155	именно на	4	2
156	во втором	3	2
157	не мог	3	2
158	есть только	3	2
159	и те	2	2
160	рядом с	5	2
161	каждый из	2	2
162	и с	16	2
163	говорит он	2	2
164	с этим	3	2
165	бы в	2	2
166	так и	5	2
167	средних веков	4	2
168	у нас	4	2
169	тем более	2	2
170	литературы и	2	2
171	того же	4	2
172	во всех	17	2
173	что мы	2	2
174	жизни и	3	2
175	мы уже	18	2
176	и до	7	2
177	был в	2	2
178	этой книги	2	2
179	но уже	2	2
180	из того	2	2
181	и сейчас	2	2
182	в значительной	2	2
183	между ними	3	2
184	с точки	2	2
185	другом месте	4	2
186	мы не	2	2
187	в другом	4	2
